Isocortex_FRP	Isocortex_MO	Isocortex_ORB	Isocortex_PTLp	Isocortex_RSPd	Isocortex_RSPv	Isocortex_SS	Isocortex_VIS	OlfactoryAreas_AOBgl	OlfactoryAreas_AOBgr	OlfactoryAreas_AOBmi	OlfactoryAreas_AON1	OlfactoryAreas_AON2	OlfactoryAreas_MOBgl	OlfactoryAreas_MOBgr	OlfactoryAreas_MOBipl	OlfactoryAreas_MOBmi	OlfactoryAreas_MOBopl	OlfactoryAreas_PIR1	OlfactoryAreas_PIR2	OlfactoryAreas_PIR3	Hippocampus_CA1slm	Hippocampus_CA1so	Hippocampus_CA1sp	Hippocampus_CA1sr	Hippocampus_CA2slm	Hippocampus_CA2so	Hippocampus_CA2sp	Hippocampus_CA2sr	Hippocampus_CA3slm	Hippocampus_CA3slu	Hippocampus_CA3so	Hippocampus_CA3sp	Hippocampus_CA3sr	Hippocampus_DGgrInf	Hippocampus_DGgrSup	Hippocampus_DGmoInf	Hippocampus_DGmoSup	Hippocampus_DGpo	Hippocampus_DgmoInf	CorticalSubplate_CLA	CorticalSubplate_EPd	Striatum_ACBc	Striatum_ACBsh	Striatum_CP	Striatum_FS	Striatum_OT1	Striatum_OT2	Striatum_OT3	Striatum_isl	Pallidum_BST	Pallidum_GPi	Pallidum_MA	Pallidum_NDB	Pallidum_SI	Thalamus_LD	Thalamus_LP	Thalamus_Others	Thalamus_RT	Thalamus_SPFp	Thalamus_VAL	Thalamus_VM	Thalamus_VPL	Thalamus_VPM	Thalamus_VPMpc	Hypothalamus_LHA	Hypothalamus_LPO	Hypothalamus_PSTN	Hypothalamus_SO	Hypothalamus_STN	Hypothalamus_ZI	Midbrain_APN	Midbrain_CUN	Midbrain_IC	Midbrain_MEV	Midbrain_MRN	Midbrain_NOT	Midbrain_PPT	Midbrain_RN	Midbrain_RR	Midbrain_SCm	Midbrain_SCs	Midbrain_SNc	Midbrain_SNr	Pons_PB	Pons_PG	Pons_PRNc	Pons_PRNr	Pons_SOC	Pons_SUT	Pons_V	Medulla_CU	Medulla_LAV	Medulla_LI	Medulla_LRN	Medulla_MDRN	Medulla_MV	Medulla_MX	Medulla_PARN	Medulla_SOL	Medulla_SPIV	Medulla_SPVI	Medulla_SPVO	Medulla_SUV	Medulla_VII	Cerebellum_ANcr1gr	Cerebellum_ANcr1mo	Cerebellum_ANcr2gr	Cerebellum_ANcr2mo	Cerebellum_CENT2gr	Cerebellum_CENT2mo	Cerebellum_CENT3gr	Cerebellum_CENT3mo	Cerebellum_COPYgr	Cerebellum_COPYmo	Cerebellum_CUL4,5gr	Cerebellum_CUL4,5mo	Cerebellum_DECgr	Cerebellum_DECmo	Cerebellum_FN	Cerebellum_FOTUgr	Cerebellum_FOTUmo	Cerebellum_IP	Cerebellum_NODgr	Cerebellum_NODmo	Cerebellum_PRMgr	Cerebellum_PRMmo	Cerebellum_PYRgr	Cerebellum_PYRmo	Cerebellum_SIMgr	Cerebellum_SIMmo	Cerebellum_UVUgr	Cerebellum_UVUmo
1	0.93281	0.94819	0.92442	0.6893	0.5	0.93085	0.80646	0.17579	0.068719	0.060626	0.20513	0.11658	0.031144	0.20473	0.18487	0.21444	0.11368	0.3056	0.24233	0.3585	0.17733	0.075215	0.16705	0.060605	0.034031	0.018756	0.15951	0.014111	0.023305	0.27498	0.030837	0.30744	0.028502	0.0542	0.032281	0.010406	0.0082965	0.20322	0.15517	0.45349	0.42401	0.62461	0.51382	0.77566	0.46363	0.56525	0.34188	0.4318	0.18683	0.1603	0.017244	0.046042	0.077158	0.041995	0.082824	0.11908	0.19272	0.097974	0.16845	0.20413	0.042418	0.051156	0.10089	0.056664	0.13189	0.14153	0.18896	0.19846	0.20552	0.10668	0.068919	0.088567	0.14059	0.19624	0.078751	0.08407	0.060868	0.09975	0.059898	0.051585	0.089517	0.1062	0.071414	0.059453	0.18233	0.14856	0.15078	0.17211	0.10048	0.073243	0.22671	0.21034	0.15025	0.12108	0.14722	0.24651	0.18833	0.33147	0.23278	0.20807	0.27336	0.15065	0.35695	0.33383	0.0076269	0.011371	0.0082068	0.016861	0.052476	0.093569	0.028672	0.053099	0.0074453	0.012847	0.030948	0.041379	0.051916	0.083266	0.060024	0.036974	0.10698	0.031984	0.045513	0.089842	0.0065296	0.012322	0.040118	0.10904	0.010581	0.012845	0.050383	0.04782
0.93281	1	0.96865	0.9656	0.86634	0.68676	0.99266	0.94468	0.27699	0.13347	0.11708	0.27151	0.13017	0.066073	0.29064	0.2702	0.29691	0.18757	0.39166	0.29565	0.48891	0.24706	0.098634	0.26123	0.067294	0.061775	0.0354	0.22861	0.027542	0.043996	0.3745	0.062079	0.38893	0.052856	0.094136	0.057963	0.01679	0.013225	0.27975	0.23148	0.59009	0.54569	0.71919	0.63994	0.8517	0.6465	0.66803	0.4518	0.57049	0.26426	0.24172	0.027516	0.070169	0.12145	0.071719	0.14558	0.17609	0.28259	0.15488	0.23102	0.27267	0.084317	0.098249	0.16823	0.099981	0.19242	0.20939	0.25419	0.24433	0.25915	0.14495	0.097934	0.12867	0.19252	0.26783	0.10778	0.12536	0.086524	0.14498	0.090687	0.074334	0.12815	0.17045	0.11235	0.075612	0.23473	0.19802	0.19384	0.24293	0.1235	0.095595	0.3168	0.2528	0.19335	0.15823	0.20913	0.27483	0.24548	0.40577	0.26869	0.24312	0.29836	0.20065	0.37936	0.35982	0.011838	0.018101	0.01359	0.027082	0.078446	0.14379	0.042868	0.0835	0.012314	0.021477	0.045702	0.068031	0.079878	0.12922	0.082557	0.061152	0.15052	0.037834	0.071777	0.13946	0.01109	0.020819	0.066481	0.15743	0.016364	0.021806	0.066548	0.074272
0.94819	0.96865	1	0.9869	0.77888	0.57733	0.98059	0.87178	0.22946	0.098636	0.081013	0.29483	0.17737	0.052076	0.27212	0.26137	0.29178	0.17101	0.40694	0.3513	0.46733	0.22362	0.10197	0.23048	0.083357	0.053976	0.033533	0.22073	0.02648	0.036753	0.33079	0.046514	0.35446	0.046382	0.086775	0.056977	0.019657	0.015954	0.23981	0.19821	0.58152	0.53301	0.74002	0.67003	0.83815	0.58468	0.7311	0.49809	0.59816	0.29374	0.20254	0.022798	0.064257	0.10811	0.05723	0.11825	0.19153	0.27765	0.16303	0.19023	0.24263	0.070089	0.07449	0.15935	0.10138	0.17253	0.18502	0.25143	0.2541	0.28051	0.13022	0.089467	0.1165	0.17291	0.24429	0.097805	0.11143	0.078862	0.12844	0.088941	0.069023	0.11345	0.1426	0.10262	0.064828	0.22811	0.21703	0.1781	0.20837	0.12302	0.084584	0.29982	0.24424	0.17523	0.1707	0.20876	0.28066	0.21531	0.40332	0.2672	0.24137	0.32779	0.18771	0.42218	0.39573	0.01021	0.013568	0.012101	0.02052	0.072356	0.11461	0.039362	0.066835	0.010964	0.016515	0.04241	0.052084	0.0703	0.099955	0.055577	0.05268	0.12123	0.033521	0.063362	0.11088	0.0098431	0.015747	0.057547	0.13003	0.01457	0.016277	0.058077	0.066325
0.92442	0.9656	0.9869	1	0.80332	0.58268	0.98786	0.89709	0.22972	0.10501	0.085671	0.33051	0.1911	0.057273	0.26202	0.26058	0.27929	0.18237	0.44014	0.3582	0.47467	0.25773	0.12819	0.23649	0.10185	0.067538	0.04172	0.2093	0.032972	0.047764	0.34282	0.056277	0.34086	0.058949	0.08608	0.056796	0.025765	0.021045	0.27561	0.2009	0.58862	0.52008	0.77439	0.70339	0.84678	0.61308	0.75044	0.51061	0.62617	0.28877	0.19363	0.021647	0.062757	0.10878	0.057188	0.12322	0.19842	0.28145	0.17641	0.17432	0.22151	0.077878	0.078062	0.16308	0.10873	0.16202	0.17512	0.23757	0.23283	0.25922	0.11867	0.082599	0.10996	0.16253	0.22299	0.088966	0.10568	0.072012	0.11931	0.082813	0.062873	0.10579	0.14232	0.096627	0.057923	0.20773	0.20062	0.15879	0.19008	0.10706	0.076279	0.27342	0.21366	0.15345	0.15197	0.18858	0.24211	0.1906	0.35939	0.23195	0.20945	0.28197	0.16695	0.36663	0.34322	0.0099779	0.013235	0.012038	0.020163	0.071928	0.11413	0.038874	0.066895	0.010938	0.016487	0.041838	0.051975	0.069787	0.098301	0.050191	0.052526	0.11521	0.028985	0.062768	0.10913	0.0098815	0.015748	0.05776	0.12607	0.01438	0.016109	0.054876	0.065317
0.6893	0.86634	0.77888	0.80332	1	0.91884	0.84457	0.96974	0.45337	0.2912	0.25673	0.31892	0.11521	0.16347	0.40355	0.38699	0.3861	0.32436	0.44634	0.30518	0.61358	0.32083	0.11986	0.38612	0.062214	0.12656	0.077224	0.30439	0.062846	0.09611	0.47012	0.14499	0.43613	0.10965	0.17802	0.11361	0.028037	0.021564	0.36063	0.35857	0.65844	0.61964	0.66366	0.66868	0.77033	0.83529	0.64206	0.52063	0.65248	0.35544	0.42681	0.060775	0.12579	0.22007	0.13485	0.28242	0.25034	0.39504	0.2389	0.32971	0.36313	0.18839	0.21223	0.28725	0.18121	0.32438	0.35207	0.35038	0.26442	0.32657	0.2438	0.17937	0.23282	0.31067	0.38893	0.18828	0.23275	0.1603	0.25919	0.16087	0.14033	0.2302	0.32301	0.21161	0.13288	0.34743	0.27343	0.29834	0.38988	0.18576	0.16958	0.45526	0.33156	0.2831	0.19789	0.3033	0.32017	0.35148	0.48686	0.32985	0.30684	0.30492	0.30693	0.36095	0.36649	0.018708	0.029604	0.022812	0.043112	0.10808	0.20592	0.060964	0.11822	0.020117	0.034312	0.063006	0.1072	0.12312	0.2041	0.11924	0.1091	0.22701	0.051223	0.11376	0.21687	0.019132	0.034472	0.11468	0.22233	0.024941	0.035995	0.0913	0.11767
0.5	0.68676	0.57733	0.58268	0.91884	1	0.64219	0.82392	0.56942	0.416	0.38865	0.22456	0.064076	0.22631	0.45506	0.40811	0.41168	0.35062	0.33954	0.22528	0.59078	0.25544	0.0713	0.42072	0.029538	0.11508	0.07013	0.34257	0.05793	0.086887	0.45773	0.16773	0.44835	0.097212	0.2318	0.14396	0.017164	0.012618	0.29751	0.41865	0.58409	0.59921	0.477	0.508	0.59915	0.7894	0.47244	0.42444	0.52606	0.33965	0.59678	0.095764	0.15896	0.27146	0.18527	0.36693	0.22855	0.39691	0.2154	0.45104	0.45715	0.23347	0.30467	0.32679	0.18763	0.43349	0.46836	0.38835	0.26691	0.33905	0.33983	0.25296	0.31649	0.40085	0.50197	0.2663	0.32249	0.23255	0.36607	0.21148	0.20426	0.32244	0.4332	0.29669	0.1984	0.43149	0.30008	0.40709	0.55286	0.24766	0.24752	0.57628	0.41987	0.39903	0.22575	0.38273	0.37456	0.49149	0.55906	0.40016	0.3792	0.32111	0.42116	0.3551	0.37594	0.023471	0.042021	0.02818	0.05928	0.11534	0.24782	0.067424	0.14136	0.02435	0.045515	0.068153	0.14067	0.14397	0.26948	0.19451	0.1392	0.29971	0.071829	0.1356	0.27861	0.023653	0.046991	0.14163	0.26945	0.029521	0.050566	0.10874	0.14015
0.93085	0.99266	0.98059	0.98786	0.84457	0.64219	1	0.93186	0.25563	0.12176	0.10379	0.29716	0.15303	0.06271	0.27573	0.26512	0.28758	0.18613	0.41297	0.31928	0.48218	0.25586	0.11243	0.25218	0.081366	0.065327	0.03844	0.21878	0.030105	0.046604	0.36404	0.060717	0.36796	0.056515	0.089967	0.056935	0.020449	0.016363	0.28281	0.21747	0.59074	0.53231	0.75209	0.67271	0.85466	0.63878	0.70628	0.47791	0.59827	0.27213	0.21611	0.024209	0.065977	0.11493	0.065561	0.13514	0.18357	0.28005	0.16333	0.20097	0.24413	0.081962	0.089174	0.16476	0.10326	0.17444	0.19007	0.24292	0.23629	0.25267	0.12842	0.08779	0.11664	0.17456	0.24188	0.095569	0.11335	0.076889	0.12951	0.084522	0.066395	0.11444	0.15581	0.10268	0.064188	0.21522	0.19395	0.17142	0.21357	0.11104	0.082988	0.29091	0.22634	0.16943	0.15146	0.1953	0.24991	0.21463	0.37497	0.24244	0.21907	0.282	0.17904	0.36284	0.34039	0.010977	0.015856	0.012898	0.024057	0.076511	0.13235	0.041317	0.077257	0.01174	0.019429	0.044249	0.061496	0.075802	0.11573	0.066091	0.057302	0.13333	0.032659	0.068131	0.12626	0.010567	0.018695	0.062813	0.14374	0.015496	0.019383	0.060554	0.070371
0.80646	0.94468	0.87178	0.89709	0.96974	0.82392	0.93186	1	0.37367	0.21458	0.19057	0.31025	0.12367	0.11274	0.34608	0.3318	0.33878	0.26523	0.43807	0.30296	0.5699	0.3094	0.1237	0.32845	0.070751	0.10497	0.062165	0.26495	0.049182	0.07849	0.44545	0.11081	0.42209	0.089904	0.13433	0.083422	0.025141	0.019505	0.34581	0.31091	0.6306	0.58922	0.68377	0.6515	0.80364	0.74696	0.65069	0.47951	0.61111	0.2995	0.33176	0.041649	0.09525	0.16804	0.099639	0.21695	0.21741	0.34311	0.20252	0.28249	0.31429	0.13848	0.15586	0.22947	0.14237	0.25105	0.27297	0.2926	0.25052	0.28399	0.18869	0.13372	0.17505	0.24522	0.32185	0.14294	0.17402	0.119	0.19499	0.11896	0.10293	0.17297	0.24314	0.15529	0.099001	0.28248	0.23071	0.23868	0.30819	0.14856	0.12714	0.36732	0.27933	0.23193	0.16971	0.24464	0.28291	0.29167	0.42229	0.2853	0.26341	0.2856	0.24295	0.34602	0.33944	0.013603	0.022398	0.016075	0.03299	0.083303	0.1638	0.045933	0.094062	0.014213	0.025572	0.048094	0.081591	0.091315	0.15686	0.10144	0.07611	0.17919	0.043397	0.082988	0.16705	0.013232	0.025434	0.081082	0.17682	0.018323	0.026803	0.072832	0.085759
0.17579	0.27699	0.22946	0.22972	0.45337	0.56942	0.25563	0.37367	1	0.81243	0.7462	0.26205	0.070441	0.61585	0.85911	0.78995	0.75605	0.77184	0.39052	0.28424	0.59086	0.35066	0.089311	0.75829	0.032225	0.24943	0.18597	0.64295	0.16059	0.17594	0.67128	0.37566	0.64711	0.19784	0.58849	0.39404	0.033729	0.024357	0.34479	0.82275	0.35077	0.38985	0.18391	0.23465	0.23039	0.41032	0.22188	0.24103	0.27797	0.24363	0.60697	0.12881	0.19056	0.35567	0.20147	0.83487	0.39763	0.62398	0.37246	0.67872	0.67615	0.60686	0.76546	0.64048	0.39442	0.61753	0.65272	0.44465	0.46587	0.42873	0.48979	0.38335	0.45535	0.49296	0.75837	0.38876	0.47823	0.3657	0.57631	0.41805	0.33701	0.4591	0.60235	0.4787	0.18872	0.42108	0.27894	0.41023	0.59321	0.26195	0.23254	0.38511	0.2209	0.27198	0.10646	0.25214	0.18528	0.33008	0.3184	0.2016	0.19957	0.16	0.29015	0.1629	0.1965	0.0017904	0.0033336	0.0027566	0.0053411	0.019199	0.041703	0.0077909	0.016198	0.002229	0.0038696	0.0077859	0.017599	0.026442	0.050737	0.074836	0.03006	0.059422	0.010813	0.025546	0.052498	0.0022966	0.0041207	0.029905	0.047993	0.0025169	0.0046117	0.013624	0.027549
0.068719	0.13347	0.098636	0.10501	0.2912	0.416	0.12176	0.21458	0.81243	1	0.94618	0.16562	0.029119	0.8175	0.54603	0.53077	0.44861	0.66354	0.23458	0.13528	0.38202	0.28329	0.068085	0.62288	0.017284	0.30955	0.22131	0.40697	0.1978	0.25128	0.47464	0.56747	0.37646	0.26122	0.50827	0.33854	0.03124	0.021929	0.27924	0.63572	0.21573	0.22676	0.097815	0.13501	0.11496	0.30133	0.11134	0.13819	0.16913	0.14429	0.46144	0.10714	0.13759	0.27829	0.18915	0.82478	0.25543	0.41965	0.28071	0.43811	0.39568	0.72517	0.87747	0.5153	0.33924	0.41624	0.45557	0.25256	0.22567	0.20363	0.29989	0.24665	0.30742	0.31197	0.44775	0.23824	0.33729	0.23333	0.39157	0.26899	0.21445	0.3086	0.50139	0.34626	0.11496	0.22857	0.14162	0.22906	0.39173	0.12827	0.14211	0.23519	0.11017	0.1531	0.05303	0.14748	0.079598	0.19425	0.1579	0.092931	0.093234	0.061696	0.16898	0.060934	0.075764	0.0016051	0.0033207	0.0026213	0.0053591	0.015177	0.03747	0.0063345	0.015192	0.0021435	0.0041504	0.0061484	0.017978	0.022463	0.046573	0.060372	0.028389	0.045881	0.0059144	0.022361	0.047439	0.0022896	0.0045282	0.028242	0.038315	0.0022115	0.0050197	0.0093075	0.023271
