Isocortex_FRP	Isocortex_MO	Isocortex_ORB	Isocortex_PTLp	Isocortex_RSPd	Isocortex_RSPv	Isocortex_SS	Isocortex_VIS	OlfactoryAreas_AOBgl	OlfactoryAreas_AOBgr	OlfactoryAreas_AOBmi	OlfactoryAreas_AON1	OlfactoryAreas_AON2	OlfactoryAreas_MOBgl	OlfactoryAreas_MOBgr	OlfactoryAreas_MOBipl	OlfactoryAreas_MOBmi	OlfactoryAreas_MOBopl	OlfactoryAreas_PIR1	OlfactoryAreas_PIR2	OlfactoryAreas_PIR3	Hippocampus_CA1slm	Hippocampus_CA1so	Hippocampus_CA1sp	Hippocampus_CA1sr	Hippocampus_CA2slm	Hippocampus_CA2so	Hippocampus_CA2sp	Hippocampus_CA2sr	Hippocampus_CA3slm	Hippocampus_CA3slu	Hippocampus_CA3so	Hippocampus_CA3sp	Hippocampus_CA3sr	Hippocampus_DGgrInf	Hippocampus_DGgrSup	Hippocampus_DGmoInf	Hippocampus_DGmoSup	Hippocampus_DGpo	Hippocampus_SUB	CorticalSubplate_CLA	CorticalSubplate_EPd	Striatum_ACBc	Striatum_ACBsh	Striatum_CP	Striatum_FS	Striatum_OT1	Striatum_OT2	Striatum_OT3	Striatum_isl	Pallidum_BST	Pallidum_GPi	Pallidum_MA	Pallidum_NDB	Pallidum_SI	Thalamus_AV	Thalamus_LD	Thalamus_LP	Thalamus_PO	Thalamus_RT	Thalamus_SPFp	Thalamus_VAL	Thalamus_VM	Thalamus_VPL	Thalamus_VPM	Hypothalamus_LHA	Hypothalamus_LPO	Hypothalamus_PSTN	Hypothalamus_SO	Hypothalamus_STN	Hypothalamus_ZI	Midbrain_APN	Midbrain_CUN	Midbrain_IC	Midbrain_MEV	Midbrain_MRN	Midbrain_NOT	Midbrain_PPN	Midbrain_PPT	Midbrain_RR	Midbrain_SCm	Midbrain_SCs	Midbrain_SNc	Midbrain_SNr	Pons_NLL	Pons_PB	Pons_PG	Pons_PRNc	Pons_PRNr	Pons_SOC	Pons_SUT	Pons_V	Medulla_AMB	Medulla_CU	Medulla_IRN	Medulla_LAV	Medulla_LI	Medulla_LRN	Medulla_MDRN	Medulla_MV	Medulla_PARN	Medulla_PGRNl	Medulla_SOL	Medulla_SPIV	Medulla_SPVC	Medulla_SPVI	Medulla_SUV	Medulla_VII	Cerebellum_ANcr1gr	Cerebellum_ANcr1mo	Cerebellum_ANcr2gr	Cerebellum_ANcr2mo	Cerebellum_CENT2gr	Cerebellum_CENT2mo	Cerebellum_CENT3gr	Cerebellum_CENT3mo	Cerebellum_CUL4,5gr	Cerebellum_CUL4,5mo	Cerebellum_DECgr	Cerebellum_DECmo	Cerebellum_FN	Cerebellum_FOTUgr	Cerebellum_FOTUmo	Cerebellum_IP	Cerebellum_NODgr	Cerebellum_NODmo	Cerebellum_PYRgr	Cerebellum_PYRmo	Cerebellum_SIMgr	Cerebellum_SIMmo	Cerebellum_UVUgr	Cerebellum_UVUmo
1	0.90075	0.87767	0.83784	0.81562	0.66472	0.82358	0.85502	0.07731	0.10885	0.15728	0.25254	0.56032	0.049791	0.09881	0.14566	0.072012	0.28454	0.41914	0.43643	0.264	0.35464	0.50283	0.086793	0.40137	0.27574	0.24941	0.026702	0.26961	0.22376	0.0049353	0.22216	0.0088253	0.20446	0.0096017	0.0034416	0.093854	0.10149	0.027705	0.59537	0.39204	0.30151	0.46974	0.54482	0.58996	0.31101	0.60414	0.44409	0.5472	0.15674	0.030833	0.042411	0.036159	0.069411	0.050851	0.083413	0.10551	0.12322	0.098569	0.0072155	0.013535	0.032033	0.021938	0.046405	0.069042	0.054167	0.049616	0.068556	0.018016	0.040115	0.016522	0.012832	0.017967	0.10498	0.0089595	0.011172	0.02876	0.0062356	0.025151	0.0096522	0.038689	0.071836	0.012164	0.044129	0.013698	0.045911	0.049324	0.010764	0.012937	0.0094863	0.042213	0.021082	0.0061579	0.090446	0.018541	0.01128	0.093703	0.034323	0.010779	0.010022	0.042004	0.010455	0.074882	0.046156	0.060998	0.064235	0.026019	0.010846	0.028658	0.055841	0.033604	0.043289	0.13254	0.072707	0.10823	0.091787	0.088622	0.10431	0.14172	0.12419	0.012913	0.075191	0.09133	0.01889	0.051481	0.044242	0.066894	0.099321	0.047464	0.063139	0.067699	0.05032
0.90075	1	0.95257	0.97658	0.89333	0.79781	0.98022	0.92239	0.062331	0.18208	0.24274	0.33309	0.60918	0.094799	0.16078	0.22728	0.12687	0.3747	0.50483	0.55871	0.34565	0.49621	0.51961	0.17487	0.38837	0.33956	0.30023	0.06242	0.31302	0.27754	0.0088536	0.3018	0.018327	0.2661	0.022844	0.00862	0.1028	0.11835	0.050611	0.70233	0.50716	0.39252	0.66339	0.74403	0.69728	0.48067	0.75448	0.64827	0.73084	0.27473	0.056803	0.074806	0.079437	0.12816	0.10676	0.11298	0.13141	0.15298	0.11818	0.010849	0.020267	0.057159	0.04157	0.057617	0.092545	0.098536	0.093657	0.092667	0.034169	0.081	0.028173	0.021078	0.028727	0.17207	0.011835	0.017612	0.047572	0.01025	0.038344	0.01561	0.062404	0.1155	0.021402	0.088304	0.02479	0.067728	0.062912	0.018554	0.02185	0.016776	0.070984	0.037619	0.013956	0.14378	0.031443	0.024203	0.15026	0.05971	0.013081	0.019175	0.070305	0.017954	0.13251	0.080789	0.097316	0.098696	0.045995	0.019247	0.046795	0.096525	0.055786	0.072198	0.1935	0.11412	0.16199	0.14693	0.13538	0.1771	0.20996	0.20433	0.024207	0.1175	0.15113	0.034625	0.081779	0.075447	0.10599	0.16095	0.077416	0.10741	0.10367	0.079688
0.87767	0.95257	1	0.91115	0.92954	0.90451	0.90251	0.95183	0.092869	0.24886	0.3462	0.44222	0.75525	0.13373	0.22574	0.29179	0.15315	0.50809	0.66583	0.69646	0.48557	0.45516	0.44502	0.16652	0.2897	0.39635	0.34977	0.07459	0.34504	0.29819	0.0067637	0.37079	0.017733	0.27479	0.025685	0.0089816	0.078679	0.093932	0.048715	0.8193	0.65067	0.53396	0.675	0.75289	0.8318	0.56423	0.84826	0.68026	0.79124	0.31488	0.090051	0.11587	0.11214	0.18647	0.14594	0.18329	0.20607	0.23847	0.18505	0.021722	0.036722	0.088006	0.068055	0.10053	0.14527	0.14859	0.13843	0.1422	0.053076	0.12126	0.047218	0.0364	0.048336	0.24173	0.019334	0.031064	0.078554	0.017888	0.063729	0.028435	0.10193	0.17771	0.037608	0.12413	0.038572	0.10684	0.099765	0.03151	0.037166	0.028323	0.11313	0.060232	0.022006	0.21056	0.052351	0.038031	0.21236	0.098572	0.021736	0.031872	0.11026	0.030539	0.18734	0.12538	0.15411	0.15083	0.075085	0.03229	0.047596	0.13197	0.057575	0.10622	0.191	0.17878	0.15779	0.21606	0.13032	0.24484	0.19269	0.28351	0.04187	0.11457	0.21255	0.060279	0.082478	0.12109	0.10695	0.22537	0.080451	0.15403	0.12276	0.12998
0.83784	0.97658	0.91115	1	0.9064	0.7708	0.99286	0.92585	0.047961	0.16109	0.23303	0.33334	0.58091	0.10141	0.13982	0.19965	0.11096	0.35725	0.46946	0.5369	0.3308	0.54453	0.57194	0.18677	0.41847	0.36689	0.32576	0.062899	0.32744	0.30279	0.0076382	0.30971	0.01591	0.28445	0.021755	0.0084453	0.11588	0.13572	0.042868	0.69399	0.50372	0.37355	0.70182	0.79027	0.69442	0.50626	0.77678	0.67708	0.76096	0.25804	0.050238	0.064601	0.082863	0.12377	0.10302	0.1066	0.13281	0.15223	0.12351	0.0092298	0.016756	0.062373	0.0454	0.057539	0.098647	0.090006	0.086235	0.07607	0.030002	0.083479	0.023244	0.017476	0.023862	0.15172	0.0088683	0.014109	0.042214	0.0081246	0.031326	0.013032	0.053565	0.10464	0.018244	0.080439	0.020429	0.055899	0.051811	0.015318	0.018025	0.013939	0.061649	0.032769	0.012738	0.12981	0.026749	0.022356	0.13562	0.05705	0.0097007	0.016831	0.061224	0.01494	0.12093	0.073192	0.088242	0.085835	0.04106	0.01627	0.055815	0.10839	0.066632	0.081895	0.20113	0.11559	0.17244	0.15171	0.14962	0.18631	0.22127	0.20979	0.021942	0.13443	0.16512	0.031597	0.091024	0.081704	0.12164	0.1731	0.087945	0.11359	0.11728	0.084579
0.81562	0.89333	0.92954	0.9064	1	0.84107	0.87465	0.99253	0.086432	0.17409	0.30156	0.44515	0.76955	0.14446	0.15326	0.19891	0.094953	0.5013	0.6023	0.66313	0.48083	0.4121	0.4919	0.13069	0.30483	0.46837	0.44028	0.056033	0.40071	0.30819	0.0027499	0.3335	0.0079424	0.25561	0.017243	0.0060052	0.098663	0.11724	0.024484	0.85124	0.6763	0.53136	0.64191	0.75748	0.8202	0.56202	0.88805	0.67895	0.81628	0.24421	0.067121	0.084792	0.10144	0.16275	0.11685	0.19484	0.26488	0.29357	0.25666	0.019832	0.029574	0.10028	0.07558	0.13337	0.1987	0.1151	0.10691	0.10879	0.038272	0.12137	0.031782	0.02636	0.035719	0.17218	0.012664	0.021791	0.064725	0.011936	0.046817	0.021899	0.076684	0.14436	0.029238	0.089046	0.025353	0.079176	0.087262	0.021242	0.025645	0.019676	0.084459	0.041254	0.015127	0.16734	0.036939	0.025096	0.17834	0.092054	0.014873	0.021173	0.080513	0.021329	0.14807	0.09684	0.12896	0.11589	0.055491	0.021694	0.056581	0.15455	0.069083	0.13181	0.17452	0.18549	0.14946	0.22539	0.13176	0.24838	0.17734	0.27684	0.034121	0.12694	0.23807	0.048948	0.083139	0.14151	0.11721	0.2446	0.084978	0.16265	0.14251	0.15262
0.66472	0.79781	0.90451	0.7708	0.84107	1	0.76847	0.84885	0.10403	0.34262	0.50169	0.47544	0.7408	0.19323	0.3248	0.37819	0.21528	0.65135	0.73797	0.76574	0.61229	0.39883	0.27522	0.18969	0.14703	0.35359	0.30046	0.11259	0.26258	0.24477	0.0059866	0.39495	0.020825	0.21851	0.041455	0.014994	0.035902	0.047044	0.04661	0.8886	0.78159	0.65324	0.7101	0.74479	0.93305	0.73609	0.85978	0.69335	0.79667	0.35477	0.16733	0.22558	0.19994	0.31375	0.25957	0.28125	0.28374	0.33658	0.24882	0.044984	0.064882	0.14126	0.12815	0.15498	0.19731	0.26329	0.2439	0.20765	0.088515	0.213	0.083646	0.064531	0.082251	0.38053	0.027715	0.054313	0.13616	0.030392	0.10713	0.051782	0.18023	0.29619	0.069986	0.21566	0.065654	0.17072	0.13647	0.054733	0.064877	0.05195	0.20363	0.10451	0.041705	0.35008	0.089578	0.071316	0.32568	0.18286	0.031798	0.058461	0.18863	0.053012	0.28558	0.22676	0.26888	0.24739	0.13773	0.055125	0.069781	0.25154	0.082578	0.20627	0.26132	0.33098	0.21358	0.39659	0.1771	0.44004	0.24235	0.4959	0.082964	0.1546	0.38371	0.12103	0.12595	0.24133	0.15402	0.40633	0.11772	0.29647	0.20366	0.24946
0.82358	0.98022	0.90251	0.99286	0.87465	0.76847	1	0.89679	0.047221	0.17012	0.2327	0.31482	0.55587	0.099125	0.14931	0.21546	0.12616	0.35282	0.45562	0.52863	0.31892	0.54075	0.53436	0.20319	0.40089	0.33613	0.29582	0.069452	0.30381	0.28095	0.009545	0.29617	0.019367	0.27133	0.025807	0.010274	0.1102	0.12876	0.050655	0.67228	0.48752	0.36459	0.70313	0.78348	0.67052	0.50381	0.74822	0.68043	0.74508	0.27742	0.053028	0.0704	0.08514	0.12704	0.11073	0.10063	0.12065	0.13982	0.10945	0.0092025	0.017135	0.05785	0.042351	0.051566	0.087941	0.09452	0.091251	0.079408	0.032129	0.083606	0.024841	0.01837	0.024999	0.16226	0.0095648	0.014935	0.043104	0.0087045	0.032855	0.013485	0.055917	0.10681	0.019075	0.087986	0.022646	0.059075	0.053341	0.016344	0.019208	0.015099	0.065288	0.034783	0.013706	0.13654	0.028182	0.023934	0.14429	0.057568	0.010365	0.017878	0.06471	0.015901	0.12808	0.07714	0.090746	0.090053	0.043077	0.017256	0.057965	0.1081	0.068872	0.079246	0.21692	0.11272	0.18567	0.15032	0.15953	0.18738	0.2407	0.21085	0.022688	0.14126	0.16188	0.032487	0.097301	0.078037	0.12705	0.17082	0.092507	0.11469	0.11835	0.080119
0.85502	0.92239	0.95183	0.92585	0.99253	0.84885	0.89679	1	0.092328	0.17515	0.28839	0.41319	0.74173	0.12814	0.15461	0.20035	0.095956	0.46823	0.58894	0.63748	0.45162	0.41175	0.48593	0.12782	0.31053	0.42271	0.39293	0.052497	0.36394	0.28671	0.0031537	0.31688	0.0086603	0.24355	0.016024	0.0054803	0.090653	0.10665	0.026016	0.84792	0.6368	0.50069	0.62697	0.73335	0.8087	0.53109	0.86005	0.64637	0.78234	0.23911	0.065341	0.082538	0.091929	0.15332	0.1108	0.17559	0.23574	0.26657	0.22462	0.01847	0.029043	0.085369	0.064919	0.11704	0.17037	0.11244	0.10369	0.11207	0.037578	0.10812	0.031818	0.026057	0.035525	0.17581	0.013578	0.021854	0.062882	0.011951	0.047287	0.021279	0.076539	0.1434	0.027949	0.087186	0.024893	0.079716	0.086011	0.021389	0.02565	0.019233	0.08267	0.041576	0.014336	0.16665	0.03734	0.024801	0.17244	0.085743	0.016129	0.021299	0.081241	0.021247	0.14382	0.095162	0.12662	0.11737	0.054752	0.021828	0.051263	0.13953	0.062365	0.11756	0.17625	0.17521	0.14816	0.21187	0.12861	0.23491	0.18099	0.26707	0.032456	0.12054	0.22064	0.046977	0.079556	0.12797	0.11093	0.22988	0.079354	0.14945	0.13275	0.13962
0.07731	0.062331	0.092869	0.047961	0.086432	0.10403	0.047221	0.092328	1	0.041721	0.060811	0.038985	0.12097	0.021153	0.04358	0.032371	0.0095405	0.10174	0.10976	0.088033	0.10887	0.0043654	0.0063388	0.0014538	0.0029374	0.016534	0.020598	0.0024159	0.015168	0.0036526	1.5597e-05	0.0090626	0.00015349	0.0025333	0.00054427	8.0846e-05	0.00069745	0.00069799	0.00080886	0.1715	0.090301	0.12886	0.01568	0.021946	0.080343	0.028929	0.063874	0.025874	0.040593	0.025519	0.05111	0.050144	0.010161	0.048917	0.021465	0.088757	0.13605	0.1791	0.095517	0.1147	0.16102	0.0065295	0.0068883	0.12827	0.050687	0.059909	0.046281	0.31285	0.041627	0.023298	0.058923	0.074999	0.10524	0.083714	0.15246	0.095941	0.1054	0.049696	0.15831	0.082865	0.12344	0.13064	0.065596	0.02847	0.027242	0.17594	0.36441	0.05353	0.064928	0.03779	0.076863	0.042593	0.0053724	0.11379	0.075869	0.0079967	0.11218	0.07675	0.26897	0.022083	0.099074	0.055699	0.067394	0.069676	0.13959	0.16661	0.050611	0.038272	0.00089588	0.01811	0.001268	0.022415	0.0075345	0.10101	0.004803	0.069318	0.0033092	0.047187	0.0066536	0.070165	0.049631	0.0033186	0.042351	0.058448	0.0018332	0.051039	0.0027773	0.048841	0.0016536	0.030257	0.0080741	0.079011
0.10885	0.18208	0.24886	0.16109	0.17409	0.34262	0.17012	0.17515	0.041721	1	0.75511	0.44063	0.32101	0.42908	0.93246	0.80747	0.54831	0.4817	0.55198	0.52461	0.52194	0.16064	0.044819	0.24679	0.018107	0.17316	0.13501	0.44177	0.12903	0.12986	0.014145	0.36029	0.10395	0.14579	0.15956	0.046112	0.0076043	0.011568	0.20348	0.27474	0.41246	0.50268	0.27872	0.26259	0.32755	0.42548	0.30668	0.35596	0.3274	0.74	0.6037	0.51721	0.54665	0.67258	0.64974	0.32182	0.176	0.20066	0.11964	0.14499	0.24266	0.24251	0.24467	0.11527	0.14766	0.70406	0.69704	0.37591	0.5042	0.49823	0.4706	0.33721	0.36291	0.77684	0.11485	0.29785	0.44842	0.2428	0.3718	0.26941	0.52392	0.61822	0.36898	0.71624	0.41859	0.45145	0.23397	0.37156	0.38485	0.33467	0.60239	0.55214	0.41262	0.6036	0.4462	0.52868	0.56318	0.43587	0.085681	0.42556	0.58442	0.33629	0.7622	0.60647	0.52292	0.50418	0.55411	0.4148	0.015605	0.11806	0.022049	0.10393	0.067634	0.32542	0.05498	0.29651	0.039127	0.32759	0.058276	0.39345	0.39543	0.034352	0.22605	0.46361	0.029478	0.21051	0.03553	0.23013	0.035874	0.20991	0.052799	0.20004
