Isocortex_FRP	Isocortex_MO	Isocortex_ORB	Isocortex_PTLp	Isocortex_RSPd	Isocortex_RSPv	Isocortex_SS	Isocortex_VIS	OlfactoryAreas_AOBgl	OlfactoryAreas_AOBgr	OlfactoryAreas_AOBmi	OlfactoryAreas_AON1	OlfactoryAreas_AON2	OlfactoryAreas_MOBgl	OlfactoryAreas_MOBgr	OlfactoryAreas_MOBipl	OlfactoryAreas_MOBmi	OlfactoryAreas_MOBopl	OlfactoryAreas_PIR1	OlfactoryAreas_PIR2	OlfactoryAreas_PIR3	Hippocampus_CA1slm	Hippocampus_CA1so	Hippocampus_CA1sp	Hippocampus_CA1sr	Hippocampus_CA2slm	Hippocampus_CA2so	Hippocampus_CA2sp	Hippocampus_CA2sr	Hippocampus_CA3slm	Hippocampus_CA3slu	Hippocampus_CA3so	Hippocampus_CA3sp	Hippocampus_CA3sr	Hippocampus_DGgrInf	Hippocampus_DGgrSup	Hippocampus_DGmoInf	Hippocampus_DGmoSup	Hippocampus_DGpo	Hippocampus_SUB	CorticalSubplate_CLA	CorticalSubplate_EPd	Striatum_ACBc	Striatum_ACBsh	Striatum_CP	Striatum_FS	Striatum_OT1	Striatum_OT2	Striatum_OT3	Striatum_isl	Pallidum_BST	Pallidum_GPi	Pallidum_MA	Pallidum_NDB	Pallidum_SI	Thalamus_AV	Thalamus_LD	Thalamus_LP	Thalamus_PO	Thalamus_RT	Thalamus_SPFp	Thalamus_VAL	Thalamus_VM	Thalamus_VPL	Thalamus_VPM	Thalamus_VPMpc	Hypothalamus_LHA	Hypothalamus_LPO	Hypothalamus_PSTN	Hypothalamus_SO	Hypothalamus_STN	Hypothalamus_ZI	Midbrain_APN	Midbrain_CUN	Midbrain_IC	Midbrain_MEV	Midbrain_MRN	Midbrain_NOT	Midbrain_PPN	Midbrain_PPT	Midbrain_RR	Midbrain_SCm	Midbrain_SCs	Midbrain_SNc	Midbrain_SNr	Pons_NLL	Pons_PB	Pons_PG	Pons_PRNc	Pons_PRNr	Pons_SOC	Pons_V	Medulla_CU	Medulla_IRN	Medulla_LAV	Medulla_LI	Medulla_LRN	Medulla_MDRN	Medulla_MV	Medulla_MX	Medulla_PARN	Medulla_PGRNl	Medulla_SPIV	Medulla_SPVC	Medulla_SPVI	Medulla_SPVO	Medulla_SUV	Medulla_VII	Medulla_X	Cerebellum_ANcr1gr	Cerebellum_ANcr1mo	Cerebellum_ANcr2gr	Cerebellum_ANcr2mo	Cerebellum_CENT2gr	Cerebellum_CENT2mo	Cerebellum_CENT3gr	Cerebellum_CENT3mo	Cerebellum_COPYgr	Cerebellum_COPYmo	Cerebellum_CUL4,5gr	Cerebellum_CUL4,5mo	Cerebellum_DECgr	Cerebellum_DECmo	Cerebellum_FN	Cerebellum_FOTUgr	Cerebellum_FOTUmo	Cerebellum_IP	Cerebellum_NODgr	Cerebellum_NODmo	Cerebellum_PRMgr	Cerebellum_PRMmo	Cerebellum_PYRgr	Cerebellum_PYRmo	Cerebellum_SIMgr	Cerebellum_SIMmo	Cerebellum_UVUgr	Cerebellum_UVUmo
1	0.86873	0.90361	0.52708	0.51489	0.21425	0.63709	0.3538	0.01989	0.022638	0.052421	0.19726	0.47729	0.0069816	0.015168	0.032579	0.0051895	0.1284	0.52815	0.48728	0.22909	0.1282	0.20125	0.0035726	0.26801	0.053651	0.052099	0.00055715	0.05134	0.021383	0.0011149	0.031294	0.00059046	0.041443	4.5614e-05	1.641e-05	0.041012	0.038758	0.0017009	0.32061	0.17123	0.16209	0.44574	0.51056	0.38382	0.18042	0.59966	0.44911	0.54787	0.14891	0.025853	0.0012848	0.011258	0.035168	0.0074157	0.013515	0.058896	0.048443	0.030526	0.0028389	0.0027133	0.013634	0.0099769	0.013161	0.015466	0.0095753	0.010779	0.012704	0.029051	0.0028289	0.0044473	0.0026085	0.0022602	0.0023985	0.013131	0.0023654	0.0020937	0.0085512	0.001585	0.0066179	0.0018831	0.0060022	0.023041	0.0040523	0.0022844	0.0006726	0.0042326	0.029294	0.0017807	0.0016604	0.00071359	0.003645	0.0036699	0.0042671	0.00034144	0.024876	0.0048971	0.0076396	0.00064636	0.013814	0.0036909	0.0015092	0.0012518	0.0090583	0.0048336	0.0025858	0.0020336	0.0022316	0.00095112	0.001638	0.0027091	0.0041047	0.0066346	0.0052298	0.0081105	0.0049477	0.0072472	0.004409	0.0069181	0.004383	0.0073874	0.0017577	0.0020267	0.00038939	0.0036043	0.0065552	0.00080797	0.002618	0.0045283	0.0034513	0.0057876	0.0032108	0.0044226	0.0037211	0.0062202	0.0046122	0.0066984
0.86873	1	0.93701	0.79789	0.76678	0.45791	0.89467	0.61898	0.051896	0.068049	0.13338	0.28629	0.51518	0.018834	0.040798	0.07367	0.013596	0.23236	0.60975	0.56682	0.38181	0.24408	0.26546	0.01257	0.26834	0.10915	0.10002	0.002631	0.092973	0.045655	0.0028519	0.081987	0.0021388	0.080601	0.00021548	8.531e-05	0.047693	0.045814	0.0050189	0.60137	0.33036	0.30827	0.67976	0.70553	0.62038	0.37964	0.68201	0.59604	0.69281	0.23266	0.077889	0.0067662	0.040656	0.10193	0.027062	0.04257	0.12005	0.11204	0.066637	0.0095457	0.0084754	0.037722	0.028769	0.032793	0.037747	0.031436	0.037496	0.043778	0.082098	0.010348	0.018562	0.0093231	0.007167	0.0076601	0.045205	0.0083141	0.0073371	0.027898	0.005304	0.023185	0.0073082	0.022441	0.074811	0.01684	0.010453	0.0028432	0.013957	0.076263	0.0063291	0.0058575	0.0030271	0.013087	0.015521	0.015503	0.0017732	0.072036	0.017297	0.026448	0.003096	0.039927	0.013183	0.0061734	0.0061659	0.029725	0.018818	0.010495	0.008694	0.008907	0.0048119	0.0062103	0.013195	0.012797	0.027195	0.013836	0.030587	0.013992	0.027609	0.014827	0.028396	0.011722	0.027679	0.0043809	0.0072628	0.0022564	0.0094792	0.022085	0.0040392	0.0069135	0.017418	0.012321	0.024646	0.0082375	0.015425	0.011698	0.025757	0.012569	0.023645
0.90361	0.93701	1	0.60599	0.58972	0.31629	0.7229	0.4424	0.044165	0.043194	0.094703	0.27404	0.5802	0.010822	0.022285	0.043266	0.0065669	0.19435	0.66036	0.5925	0.38254	0.13206	0.17159	0.0049583	0.18195	0.073454	0.075683	0.0010178	0.064826	0.024998	0.00092995	0.046139	0.00072584	0.043079	7.0605e-05	2.6295e-05	0.029969	0.028571	0.0019543	0.49816	0.29978	0.28479	0.56065	0.61597	0.56538	0.29412	0.71319	0.53155	0.66874	0.18271	0.06009	0.0030882	0.022447	0.064355	0.013415	0.03741	0.12356	0.10806	0.066034	0.0091928	0.0083571	0.033472	0.026971	0.035028	0.035473	0.022382	0.021073	0.026454	0.056826	0.0061605	0.012868	0.0067715	0.0066464	0.0064453	0.029158	0.0066347	0.0058891	0.024702	0.0044121	0.019867	0.0054079	0.015954	0.056891	0.010175	0.0050328	0.0018934	0.010967	0.055861	0.0045444	0.0043316	0.0017992	0.0094773	0.008406	0.0097841	0.00095025	0.045633	0.013806	0.017587	0.0017183	0.024576	0.0089565	0.0036556	0.002743	0.021995	0.012564	0.0068243	0.0056049	0.0053117	0.0027788	0.0024196	0.0065301	0.0058911	0.015127	0.0074333	0.019429	0.007104	0.016062	0.0075976	0.017602	0.0056195	0.014911	0.0019075	0.003206	0.0012294	0.0045533	0.011937	0.0024976	0.0034665	0.0097944	0.005525	0.014968	0.0039601	0.0078915	0.0053115	0.014278	0.0067846	0.013743
0.52708	0.79789	0.60599	1	0.96166	0.76333	0.97289	0.91818	0.077329	0.15265	0.24904	0.2922	0.3462	0.047989	0.095024	0.14211	0.034831	0.29771	0.45453	0.426	0.37387	0.55515	0.42462	0.054683	0.32747	0.22266	0.1652	0.012626	0.16579	0.12759	0.010773	0.22434	0.0094167	0.19973	0.0012796	0.00060329	0.075436	0.073848	0.01625	0.7534	0.42527	0.35928	0.8391	0.73401	0.68494	0.6099	0.51249	0.59911	0.60271	0.27679	0.13676	0.027107	0.11545	0.20883	0.085511	0.067524	0.1323	0.14367	0.086775	0.013477	0.010743	0.062013	0.044893	0.040251	0.05495	0.070337	0.097445	0.10387	0.14334	0.023075	0.042483	0.017198	0.0097333	0.011212	0.095529	0.014013	0.01207	0.043521	0.0082639	0.038824	0.014607	0.045064	0.13961	0.045157	0.038583	0.0067528	0.022567	0.12202	0.011555	0.010523	0.0077879	0.025828	0.051068	0.034438	0.0060495	0.14982	0.031356	0.054976	0.0095434	0.080807	0.026549	0.016098	0.026265	0.053205	0.043228	0.024666	0.022845	0.022794	0.015934	0.030372	0.055096	0.04904	0.097116	0.043552	0.092382	0.046894	0.093392	0.053184	0.085822	0.040227	0.098101	0.015824	0.032172	0.0084126	0.032582	0.078864	0.011821	0.023703	0.064104	0.051395	0.076988	0.028396	0.059279	0.046303	0.092002	0.040487	0.080529
0.51489	0.76678	0.58972	0.96166	1	0.68705	0.92411	0.91432	0.090869	0.16722	0.27034	0.40921	0.43545	0.067101	0.094811	0.14286	0.031623	0.35451	0.5537	0.5239	0.44242	0.57309	0.5311	0.056361	0.39135	0.32426	0.25116	0.012529	0.25573	0.19069	0.0080627	0.28351	0.0072751	0.26895	0.0010748	0.00054679	0.1207	0.11849	0.014695	0.73488	0.50003	0.4183	0.91154	0.82721	0.7281	0.64436	0.60368	0.71093	0.70604	0.34061	0.12206	0.021419	0.10402	0.18907	0.06943	0.076257	0.17591	0.18176	0.12555	0.014296	0.011593	0.088678	0.061646	0.055647	0.083086	0.097424	0.079554	0.085831	0.1244	0.021715	0.044091	0.016117	0.010184	0.011119	0.081694	0.013844	0.011847	0.044939	0.0084431	0.039011	0.015074	0.040758	0.12929	0.041459	0.033178	0.0068922	0.021387	0.12566	0.011054	0.010338	0.0076146	0.026135	0.046891	0.0316	0.0061852	0.13241	0.033759	0.049753	0.0093008	0.065881	0.024702	0.015664	0.02221	0.049689	0.041066	0.023442	0.023377	0.022337	0.016673	0.025982	0.054294	0.045299	0.094817	0.040204	0.087787	0.04157	0.08585	0.048138	0.083794	0.035918	0.087038	0.014085	0.026192	0.0087835	0.03105	0.071122	0.012561	0.02101	0.057014	0.048633	0.078356	0.026123	0.051078	0.043002	0.088025	0.038099	0.073924
0.21425	0.45791	0.31629	0.76333	0.68705	1	0.68048	0.86112	0.16171	0.33619	0.46079	0.19319	0.1752	0.063473	0.17915	0.21457	0.066063	0.32567	0.2371	0.23742	0.36496	0.4885	0.20188	0.10554	0.10975	0.20015	0.14595	0.043402	0.1305	0.10641	0.017542	0.30967	0.026923	0.16543	0.0051793	0.0024521	0.026406	0.026372	0.034154	0.82598	0.46639	0.4139	0.61961	0.46459	0.61676	0.74575	0.24529	0.35128	0.34119	0.20525	0.36616	0.13048	0.31257	0.43826	0.23597	0.17191	0.16244	0.21223	0.10737	0.048064	0.035275	0.10176	0.086895	0.067851	0.077321	0.13413	0.28079	0.30716	0.34089	0.077076	0.15356	0.066362	0.033796	0.039808	0.30184	0.05307	0.046837	0.13189	0.031036	0.12829	0.058377	0.16704	0.38505	0.17278	0.14859	0.031072	0.079035	0.24409	0.044263	0.040454	0.033803	0.092096	0.18039	0.11744	0.03159	0.34924	0.10381	0.17362	0.045973	0.20746	0.095625	0.061888	0.10925	0.16811	0.15646	0.10141	0.093176	0.083926	0.072853	0.07283	0.20173	0.090366	0.27669	0.066611	0.25279	0.078938	0.24358	0.11941	0.2795	0.059014	0.24659	0.020006	0.074069	0.044886	0.045377	0.1664	0.056382	0.035906	0.16741	0.1168	0.25295	0.038211	0.13155	0.083706	0.26879	0.06242	0.18679
0.63709	0.89467	0.7229	0.97289	0.92411	0.68048	1	0.82818	0.066558	0.11899	0.20225	0.28708	0.39395	0.03767	0.076922	0.12164	0.028072	0.2767	0.50254	0.47047	0.37473	0.44573	0.36755	0.037833	0.31344	0.17078	0.13422	0.008339	0.13165	0.089229	0.0078875	0.15842	0.0064669	0.14611	0.00080558	0.00036307	0.064722	0.06293	0.011951	0.72378	0.39239	0.34561	0.80723	0.75843	0.66589	0.53664	0.57969	0.62432	0.65275	0.27784	0.11883	0.018984	0.090085	0.18037	0.066234	0.057581	0.12401	0.1288	0.075632	0.011688	0.0096962	0.050989	0.037186	0.035761	0.046322	0.053317	0.078755	0.085491	0.12837	0.018862	0.033338	0.014288	0.0086286	0.0098247	0.079032	0.011893	0.010245	0.037992	0.007064	0.033468	0.011717	0.037106	0.1188	0.034713	0.027837	0.0051609	0.019481	0.10948	0.0096581	0.0087576	0.0059651	0.02087	0.037568	0.027923	0.0041773	0.12711	0.026052	0.045751	0.0068718	0.069402	0.021844	0.012382	0.018199	0.045379	0.034482	0.019179	0.017092	0.017525	0.011246	0.020393	0.036726	0.035592	0.069053	0.033518	0.069064	0.035652	0.068495	0.038209	0.06213	0.030897	0.07243	0.012388	0.022984	0.0057596	0.02513	0.058307	0.0085478	0.018212	0.046515	0.03513	0.055056	0.021986	0.043341	0.033341	0.065869	0.031325	0.059611
0.3538	0.61898	0.4424	0.91818	0.91432	0.86112	0.82818	1	0.13421	0.26302	0.39275	0.32132	0.29589	0.070607	0.13729	0.18337	0.045824	0.35586	0.39319	0.37581	0.42446	0.62521	0.42399	0.081462	0.26447	0.32932	0.24403	0.023845	0.23922	0.19785	0.013012	0.39016	0.014893	0.292	0.0022339	0.0010823	0.075128	0.074596	0.025422	0.82034	0.51262	0.42701	0.81513	0.64541	0.74146	0.73056	0.40634	0.51788	0.51192	0.26724	0.19959	0.05072	0.17147	0.27208	0.11683	0.11897	0.18674	0.21704	0.13498	0.026922	0.020854	0.10825	0.083159	0.06832	0.092906	0.13303	0.13893	0.15067	0.19203	0.040917	0.082975	0.033651	0.019176	0.02178	0.15482	0.027463	0.024137	0.075907	0.01686	0.068679	0.030651	0.081648	0.21588	0.081742	0.06647	0.014959	0.041491	0.17598	0.023085	0.02142	0.016573	0.052015	0.088941	0.062822	0.014875	0.20389	0.060239	0.093386	0.021947	0.11344	0.049603	0.032284	0.047352	0.091868	0.079831	0.050088	0.048521	0.045979	0.035484	0.043416	0.10917	0.06227	0.1594	0.048667	0.14091	0.053627	0.13565	0.074117	0.1561	0.042605	0.13404	0.014936	0.038315	0.02041	0.034807	0.098214	0.027851	0.02445	0.086637	0.07834	0.14589	0.028955	0.072793	0.058585	0.14904	0.044407	0.10646
0.01989	0.051896	0.044165	0.077329	0.090869	0.16171	0.066558	0.13421	1	0.56636	0.63515	0.19129	0.10292	0.13548	0.17417	0.16874	0.039581	0.41856	0.085602	0.12634	0.37804	0.046191	0.020404	0.026804	0.0062369	0.13146	0.18601	0.038859	0.13236	0.044523	0.0010587	0.18759	0.0058668	0.056182	0.002577	0.0013248	0.006028	0.0062699	0.017445	0.2147	0.32519	0.46774	0.11516	0.10753	0.19823	0.25482	0.051831	0.094753	0.09301	0.13881	0.467	0.065338	0.19053	0.26822	0.06554	0.65631	0.40556	0.48061	0.28926	0.55685	0.58325	0.33646	0.41478	0.37846	0.32261	0.29923	0.15287	0.21845	0.33485	0.25133	0.49252	0.46797	0.57726	0.5198	0.38018	0.54966	0.51628	0.72353	0.5115	0.64229	0.57938	0.49534	0.52898	0.34428	0.10985	0.37632	0.53116	0.58856	0.41878	0.46603	0.27532	0.65861	0.22166	0.38477	0.23895	0.26209	0.76432	0.43234	0.2676	0.20079	0.46767	0.32166	0.076082	0.61253	0.52072	0.48338	0.53391	0.39023	0.34981	0.0062924	0.15395	0.012186	0.13504	0.0074872	0.12237	0.0079035	0.065803	0.019239	0.24776	0.0044779	0.051668	0.0013753	0.0065536	0.24561	0.005861	0.025679	0.42249	0.0033668	0.032606	0.021768	0.27461	0.0034115	0.016073	0.010216	0.12885	0.0084926	0.041318
0.022638	0.068049	0.043194	0.15265	0.16722	0.33619	0.11899	0.26302	0.56636	1	0.89127	0.16395	0.072711	0.28394	0.54974	0.48726	0.20063	0.4723	0.069089	0.1061	0.274	0.1832	0.057509	0.20576	0.019464	0.22089	0.20987	0.2405	0.19825	0.12742	0.016359	0.45964	0.063229	0.19142	0.030936	0.018225	0.019734	0.020596	0.11035	0.26583	0.31646	0.41253	0.18171	0.15633	0.20631	0.39298	0.050529	0.13547	0.10593	0.22578	0.55705	0.2891	0.5862	0.61426	0.33157	0.38832	0.1986	0.26693	0.14928	0.2026	0.18007	0.20556	0.20066	0.13925	0.17568	0.30921	0.46499	0.51957	0.56974	0.41193	0.50339	0.36024	0.21146	0.25128	0.58488	0.32472	0.27794	0.39563	0.24811	0.38938	0.39662	0.47321	0.57199	0.60969	0.42157	0.29973	0.34827	0.71047	0.30882	0.30458	0.33971	0.52692	0.57091	0.51027	0.30857	0.63107	0.52909	0.55789	0.39555	0.40747	0.46768	0.44225	0.33157	0.55259	0.59592	0.50073	0.57036	0.52079	0.48746	0.056404	0.40646	0.074819	0.34991	0.037988	0.25957	0.044811	0.19411	0.083257	0.40085	0.030669	0.19767	0.012945	0.053917	0.36417	0.039072	0.11487	0.42508	0.022969	0.1276	0.11454	0.42047	0.025006	0.08703	0.06448	0.34276	0.042536	0.1443
