Isocortex_FRP	Isocortex_MO	Isocortex_ORB	Isocortex_PTLp	Isocortex_RSPd	Isocortex_RSPv	Isocortex_SS	Isocortex_VIS	OlfactoryAreas_AOBgl	OlfactoryAreas_AOBgr	OlfactoryAreas_AOBmi	OlfactoryAreas_AON1	OlfactoryAreas_AON2	OlfactoryAreas_MOBgl	OlfactoryAreas_MOBgr	OlfactoryAreas_MOBipl	OlfactoryAreas_MOBmi	OlfactoryAreas_MOBopl	OlfactoryAreas_PIR1	OlfactoryAreas_PIR2	OlfactoryAreas_PIR3	Hippocampus_CA1slm	Hippocampus_CA1so	Hippocampus_CA1sp	Hippocampus_CA1sr	Hippocampus_CA2slm	Hippocampus_CA2so	Hippocampus_CA2sp	Hippocampus_CA2sr	Hippocampus_CA3slm	Hippocampus_CA3slu	Hippocampus_CA3so	Hippocampus_CA3sp	Hippocampus_CA3sr	Hippocampus_DGgrInf	Hippocampus_DGgrSup	Hippocampus_DGmoInf	Hippocampus_DGmoSup	Hippocampus_DGpo	Hippocampus_DgmoInf	CorticalSubplate_CLA	CorticalSubplate_EPd	Striatum_ACBc	Striatum_ACBsh	Striatum_CP	Striatum_FS	Striatum_OT1	Striatum_OT2	Striatum_OT3	Striatum_isl	Pallidum_BST	Pallidum_GPi	Pallidum_MA	Pallidum_NDB	Pallidum_SI	Thalamus_AV	Thalamus_LD	Thalamus_LP	Thalamus_Others	Thalamus_PO	Thalamus_RT	Thalamus_SPFp	Thalamus_VAL	Thalamus_VM	Thalamus_VPL	Thalamus_VPM	Thalamus_VPMpc	Hypothalamus_LHA	Hypothalamus_LM	Hypothalamus_LPO	Hypothalamus_PSTN	Hypothalamus_SO	Hypothalamus_STN	Hypothalamus_ZI	Midbrain_APN	Midbrain_CUN	Midbrain_IC	Midbrain_MEV	Midbrain_MRN	Midbrain_NOT	Midbrain_PPN	Midbrain_PPT	Midbrain_RN	Midbrain_RR	Midbrain_SCm	Midbrain_SCs	Midbrain_SNc	Midbrain_SNr	Pons_NLL	Pons_PB	Pons_PG	Pons_PRNc	Pons_PRNr	Pons_SOC	Pons_SUT	Pons_V	Medulla_AMB	Medulla_CU	Medulla_ECU	Medulla_IRN	Medulla_LAV	Medulla_LI	Medulla_LRN	Medulla_MDRN	Medulla_MV	Medulla_MX	Medulla_PARN	Medulla_PGRNl	Medulla_SOL	Medulla_SPIV	Medulla_SPVC	Medulla_SPVI	Medulla_SPVO	Medulla_SUV	Medulla_VII	Cerebellum_ANcr1gr	Cerebellum_ANcr1mo	Cerebellum_ANcr2gr	Cerebellum_ANcr2mo	Cerebellum_CENT2gr	Cerebellum_CENT2mo	Cerebellum_CENT3gr	Cerebellum_CENT3mo	Cerebellum_COPYgr	Cerebellum_COPYmo	Cerebellum_CUL4,5gr	Cerebellum_CUL4,5mo	Cerebellum_DECgr	Cerebellum_DECmo	Cerebellum_FN	Cerebellum_FOTUgr	Cerebellum_FOTUmo	Cerebellum_IP	Cerebellum_NODgr	Cerebellum_NODmo	Cerebellum_PRMgr	Cerebellum_PRMmo	Cerebellum_PYRgr	Cerebellum_PYRmo	Cerebellum_SIMgr	Cerebellum_SIMmo	Cerebellum_UVUgr	Cerebellum_UVUmo
1	0.88563	0.96811	0.93907	0.67721	0.52215	0.90949	0.76647	0.23177	0.11435	0.12043	0.36782	0.44593	0.054496	0.2394	0.25256	0.25098	0.1664	0.48349	0.46099	0.43932	0.3665	0.24655	0.22862	0.24362	0.11902	0.085943	0.19844	0.074518	0.093713	0.45229	0.10051	0.37562	0.12105	0.095267	0.072864	0.05892	0.054561	0.38292	0.28397	0.47432	0.41365	0.7028	0.62227	0.77516	0.38303	0.65922	0.45479	0.50322	0.2817	0.12363	0.0061535	0.037293	0.096553	0.066201	0.29623	0.18103	0.23874	0.30558	0.23873	0.20379	0.16791	0.23225	0.11319	0.13317	0.16648	0.1277	0.13757	0.16396	0.13407	0.14355	0.26906	0.20213	0.11849	0.090871	0.091304	0.14648	0.15956	0.092553	0.098857	0.085291	0.074379	0.10619	0.075296	0.070235	0.10299	0.11985	0.082217	0.12002	0.085663	0.17455	0.21065	0.13583	0.13748	0.11457	0.093788	0.12944	0.17839	0.10033	0.04834	0.20697	0.12217	0.20913	0.15199	0.23482	0.15728	0.2552	0.17669	0.21767	0.20084	0.11405	0.27415	0.15748	0.39579	0.19688	0.071951	0.071392	0.027922	0.033284	0.065538	0.072594	0.12522	0.12126	0.00098433	0.0014346	0.13686	0.105	0.20035	0.15928	0.081534	0.14644	0.17962	0.086895	0.16649	0.1532	0.024369	0.029147	0.1501	0.18329	0.0012673	0.0014484	0.0033642	0.10945
0.88563	1	0.94466	0.93901	0.90041	0.76863	0.99253	0.95741	0.38061	0.2261	0.24094	0.43119	0.44054	0.11599	0.3817	0.39093	0.3928	0.27824	0.53885	0.51579	0.62249	0.4002	0.22573	0.35855	0.17628	0.16927	0.12525	0.33201	0.10724	0.13731	0.57856	0.17322	0.52723	0.16622	0.17457	0.13596	0.058433	0.052581	0.51626	0.41729	0.68271	0.63301	0.86225	0.80215	0.92827	0.62571	0.84851	0.66739	0.71701	0.47121	0.22264	0.013514	0.070862	0.17548	0.13478	0.37846	0.30224	0.32929	0.43115	0.36002	0.2959	0.29927	0.36947	0.2032	0.24542	0.28118	0.21192	0.24292	0.25511	0.24018	0.23094	0.38474	0.29366	0.20483	0.1553	0.15889	0.23464	0.26727	0.15581	0.17366	0.14093	0.13047	0.17967	0.14138	0.12591	0.17422	0.2067	0.15369	0.17299	0.15445	0.28487	0.34433	0.23637	0.2479	0.19642	0.16753	0.21506	0.33912	0.17738	0.10216	0.35096	0.24296	0.38041	0.29116	0.37739	0.29754	0.41676	0.26653	0.36304	0.33733	0.19714	0.41856	0.29219	0.56144	0.28358	0.14768	0.16761	0.062253	0.084204	0.12704	0.16077	0.22387	0.25414	0.002574	0.0041727	0.23279	0.22967	0.33073	0.31865	0.18264	0.26653	0.35285	0.18841	0.30112	0.31218	0.054975	0.073392	0.27094	0.35041	0.0031775	0.0044274	0.0074938	0.2131
0.96811	0.94466	1	0.98889	0.79372	0.64281	0.96547	0.85067	0.31632	0.17459	0.17904	0.46809	0.52743	0.089909	0.32535	0.34169	0.33717	0.23804	0.58806	0.56077	0.55919	0.44978	0.29077	0.32068	0.26358	0.16799	0.12386	0.27166	0.1078	0.13426	0.55154	0.14991	0.4645	0.16934	0.14189	0.11045	0.077262	0.071191	0.48588	0.36623	0.60223	0.52982	0.82435	0.75827	0.87688	0.5066	0.79427	0.58683	0.64242	0.38406	0.1738	0.0083683	0.051235	0.13674	0.0975	0.38402	0.26075	0.32222	0.40817	0.32292	0.28574	0.21974	0.2989	0.17306	0.19844	0.2411	0.18985	0.1897	0.2213	0.1859	0.20035	0.33354	0.24594	0.15685	0.12297	0.12521	0.19437	0.2116	0.12305	0.13864	0.12101	0.10031	0.14481	0.10737	0.097051	0.13917	0.16899	0.11788	0.1595	0.11834	0.22685	0.28388	0.17638	0.18292	0.1465	0.12285	0.18211	0.24387	0.13513	0.076428	0.26391	0.15689	0.28694	0.2025	0.28229	0.2035	0.31285	0.24133	0.27243	0.24622	0.15175	0.31762	0.20796	0.46212	0.21878	0.10292	0.10236	0.040504	0.047033	0.090692	0.10212	0.1735	0.17358	0.0014088	0.0020351	0.1875	0.15231	0.28246	0.23104	0.11169	0.21269	0.25099	0.10959	0.24162	0.22421	0.035869	0.042203	0.22085	0.26168	0.0017342	0.0020599	0.0041908	0.15818
0.93907	0.93901	0.98889	1	0.8246	0.66417	0.96764	0.87227	0.33619	0.19677	0.19908	0.53459	0.58499	0.10688	0.34329	0.3695	0.35625	0.27297	0.64899	0.61197	0.60005	0.50879	0.34633	0.3499	0.30695	0.20987	0.15641	0.284	0.1377	0.17117	0.58003	0.18205	0.47081	0.21287	0.15811	0.12475	0.10121	0.093543	0.53625	0.38977	0.64265	0.55937	0.86325	0.80966	0.88698	0.54623	0.84165	0.63867	0.69871	0.41608	0.18453	0.0087871	0.054989	0.14766	0.10491	0.42356	0.28917	0.35978	0.44265	0.35722	0.32998	0.21729	0.29497	0.20149	0.22155	0.26888	0.22285	0.19666	0.22076	0.19296	0.21329	0.33057	0.24748	0.15837	0.12698	0.13129	0.2004	0.21318	0.12479	0.14703	0.12611	0.10312	0.14982	0.11209	0.10051	0.14317	0.1817	0.12517	0.16069	0.1204	0.22934	0.29697	0.17504	0.18293	0.14477	0.12355	0.18945	0.24951	0.13173	0.081826	0.25824	0.15381	0.29711	0.20523	0.26976	0.19942	0.30419	0.24756	0.26513	0.23787	0.14852	0.30157	0.20713	0.44062	0.20497	0.10912	0.10689	0.043391	0.048732	0.095674	0.10647	0.18314	0.1827	0.0015015	0.002113	0.19799	0.16071	0.30035	0.24398	0.10953	0.22906	0.26267	0.10615	0.25996	0.23798	0.038759	0.044315	0.23829	0.27564	0.0018129	0.0021261	0.0041569	0.16913
0.67721	0.90041	0.79372	0.8246	1	0.93937	0.88186	0.9566	0.56086	0.40636	0.41751	0.55137	0.47708	0.24417	0.54353	0.5531	0.54	0.44877	0.6363	0.58921	0.7883	0.49408	0.26707	0.53024	0.17285	0.28112	0.21337	0.46599	0.18363	0.23932	0.68176	0.31694	0.62309	0.27065	0.30016	0.24034	0.083174	0.073854	0.69151	0.55979	0.84363	0.79762	0.92828	0.92086	0.94401	0.86499	0.94902	0.85297	0.8997	0.66486	0.36885	0.025419	0.1191	0.29809	0.23459	0.47117	0.47668	0.45135	0.58172	0.50012	0.43906	0.41554	0.48405	0.36007	0.42038	0.44429	0.3498	0.38886	0.36211	0.38727	0.36255	0.45013	0.36665	0.31943	0.25452	0.26734	0.35943	0.39258	0.24763	0.29509	0.2281	0.21569	0.29298	0.24549	0.21308	0.28264	0.34792	0.26554	0.25003	0.26039	0.41806	0.50061	0.35215	0.37515	0.28847	0.26938	0.32318	0.50631	0.25448	0.1976	0.48537	0.34771	0.55317	0.40672	0.46977	0.42275	0.51824	0.38951	0.48619	0.43915	0.28634	0.45892	0.43383	0.61527	0.29905	0.23685	0.26942	0.10151	0.13034	0.18879	0.24517	0.33348	0.38756	0.0041592	0.0063859	0.3365	0.36473	0.50469	0.51831	0.27585	0.43827	0.5554	0.26007	0.48963	0.51769	0.092247	0.11734	0.45086	0.55385	0.0048318	0.0067999	0.010417	0.34897
0.52215	0.76863	0.64281	0.66417	0.93937	1	0.72798	0.82744	0.72145	0.55561	0.57946	0.51432	0.39618	0.34245	0.6776	0.64699	0.6444	0.53198	0.59817	0.53614	0.83366	0.47568	0.21829	0.64494	0.12023	0.2891	0.21535	0.58806	0.1793	0.24886	0.73427	0.38891	0.72876	0.26738	0.38212	0.30097	0.061853	0.053667	0.74676	0.65745	0.85938	0.84412	0.81982	0.81934	0.85831	0.9149	0.84673	0.79534	0.8374	0.6738	0.52692	0.031558	0.14087	0.39742	0.32353	0.44449	0.58231	0.45364	0.62424	0.52937	0.44638	0.58102	0.62769	0.44044	0.55698	0.52403	0.37997	0.53507	0.52324	0.53673	0.48541	0.52526	0.37231	0.4495	0.35603	0.36639	0.47951	0.53564	0.35038	0.40965	0.3576	0.30127	0.41297	0.36148	0.3042	0.39789	0.47361	0.3654	0.36873	0.39082	0.53824	0.61022	0.48489	0.52562	0.38656	0.37379	0.45878	0.60917	0.41089	0.33816	0.63105	0.44524	0.67169	0.4501	0.54746	0.57079	0.55981	0.54458	0.60566	0.52221	0.45045	0.47386	0.57244	0.64563	0.27654	0.24621	0.30988	0.09667	0.13741	0.17792	0.25779	0.33379	0.42798	0.0032966	0.0054959	0.32539	0.41535	0.56096	0.65794	0.41615	0.49255	0.67406	0.30762	0.56663	0.66374	0.088231	0.12257	0.53073	0.68488	0.0037859	0.006051	0.0087037	0.37826
0.90949	0.99253	0.96547	0.96764	0.88186	0.72798	1	0.94735	0.35275	0.2092	0.21915	0.45634	0.48027	0.10927	0.35664	0.37424	0.37071	0.27029	0.56209	0.54004	0.60722	0.42128	0.25507	0.34452	0.20922	0.17817	0.13296	0.30642	0.11543	0.14467	0.5642	0.17058	0.49295	0.1774	0.1647	0.12941	0.070177	0.063789	0.51087	0.39597	0.66741	0.60597	0.87236	0.81542	0.91856	0.60101	0.85771	0.66928	0.72102	0.45885	0.1996	0.011769	0.065074	0.16048	0.12111	0.39046	0.28963	0.33574	0.4269	0.35537	0.30402	0.2588	0.33038	0.19792	0.22935	0.27177	0.21371	0.21733	0.22806	0.21442	0.21444	0.35624	0.27822	0.17936	0.13829	0.14277	0.21284	0.23743	0.13734	0.15706	0.12587	0.11521	0.16063	0.12458	0.11126	0.1551	0.18972	0.13844	0.15614	0.13419	0.2559	0.31991	0.20543	0.21539	0.17112	0.1453	0.19537	0.30568	0.15	0.088639	0.30758	0.20733	0.34714	0.26393	0.3337	0.25451	0.37773	0.24426	0.31973	0.29692	0.16782	0.37942	0.25461	0.51691	0.26136	0.13867	0.14936	0.058991	0.074834	0.12211	0.14707	0.21582	0.23464	0.002441	0.0037694	0.22759	0.20972	0.31927	0.28955	0.15017	0.25462	0.31999	0.15913	0.28614	0.28303	0.052274	0.066171	0.25798	0.32131	0.0029885	0.0039277	0.0067925	0.20163
0.76647	0.95741	0.85067	0.87227	0.9566	0.82744	0.94735	1	0.42047	0.27441	0.28848	0.45821	0.43529	0.15402	0.4125	0.42994	0.42301	0.3327	0.5436	0.52215	0.66271	0.39897	0.22761	0.38371	0.16309	0.20732	0.15961	0.35392	0.13835	0.1719	0.56587	0.21497	0.51114	0.202	0.21125	0.16908	0.069241	0.061867	0.55293	0.44427	0.72334	0.68479	0.88816	0.8617	0.92217	0.7301	0.90478	0.77105	0.81306	0.57536	0.26172	0.022154	0.10188	0.22225	0.17305	0.39362	0.34521	0.36714	0.46374	0.39646	0.34304	0.31884	0.38062	0.24964	0.28931	0.33128	0.26129	0.28796	0.2533	0.28533	0.26106	0.37815	0.35199	0.24049	0.1881	0.19837	0.27136	0.29995	0.18432	0.21332	0.14761	0.16234	0.21182	0.17343	0.156	0.20693	0.2505	0.19492	0.17097	0.18306	0.33229	0.39912	0.27533	0.28772	0.2318	0.20781	0.22666	0.41924	0.17449	0.11705	0.39208	0.29863	0.44622	0.36783	0.42291	0.34228	0.48334	0.26877	0.40919	0.38912	0.19907	0.45937	0.34601	0.58523	0.32466	0.19654	0.2257	0.090081	0.1198	0.17121	0.21948	0.27955	0.32234	0.00435	0.0068278	0.28604	0.29781	0.38389	0.38606	0.2073	0.33312	0.43741	0.24478	0.36407	0.38337	0.080418	0.10474	0.32777	0.41767	0.0052429	0.0073231	0.012416	0.27905
0.23177	0.38061	0.31632	0.33619	0.56086	0.72145	0.35275	0.42047	1	0.85206	0.85922	0.51311	0.35423	0.66992	0.95293	0.89145	0.8869	0.82069	0.55565	0.52389	0.769	0.46437	0.1912	0.86524	0.089021	0.39977	0.33795	0.81858	0.2807	0.33187	0.76609	0.58783	0.81056	0.3445	0.64939	0.52949	0.071129	0.06022	0.68172	0.86539	0.62465	0.6647	0.44046	0.48349	0.45345	0.64877	0.50372	0.54814	0.55329	0.55854	0.87854	0.036972	0.18089	0.64669	0.50069	0.36879	0.77186	0.5085	0.66884	0.48622	0.50895	0.67181	0.69075	0.64484	0.78783	0.69737	0.49906	0.80353	0.81662	0.80891	0.87063	0.61089	0.34089	0.67883	0.61108	0.6023	0.71955	0.7947	0.59048	0.70273	0.77608	0.51467	0.71264	0.67617	0.56029	0.65683	0.76212	0.63355	0.74298	0.65506	0.69334	0.82081	0.64346	0.71878	0.52778	0.50433	0.86781	0.55049	0.64597	0.66858	0.63019	0.39512	0.70158	0.34053	0.40867	0.58653	0.36031	0.86428	0.55289	0.4166	0.70413	0.30256	0.59883	0.42953	0.12615	0.10013	0.13129	0.029835	0.041451	0.066688	0.10258	0.14936	0.20202	0.0004667	0.00074542	0.14085	0.20528	0.39702	0.51259	0.38549	0.34413	0.46452	0.16761	0.42491	0.53148	0.027406	0.036602	0.41279	0.51659	0.00050714	0.00086165	0.0017084	0.21437
0.11435	0.2261	0.17459	0.19677	0.40636	0.55561	0.2092	0.27441	0.85206	1	0.96972	0.44948	0.25939	0.88913	0.81768	0.79228	0.75435	0.8454	0.4364	0.39613	0.6606	0.39766	0.16294	0.86516	0.063308	0.47327	0.39939	0.75307	0.33894	0.42777	0.60533	0.74896	0.62457	0.41576	0.7165	0.60769	0.07606	0.064129	0.58433	0.72581	0.56379	0.59472	0.32133	0.37784	0.29673	0.59274	0.37834	0.47522	0.4728	0.51187	0.73656	0.023525	0.12012	0.50757	0.41736	0.36013	0.81365	0.47371	0.60377	0.51965	0.53572	0.55343	0.53741	0.78812	0.89218	0.72264	0.58205	0.62447	0.64364	0.63743	0.69575	0.45391	0.19611	0.48317	0.43216	0.43923	0.50022	0.57194	0.40046	0.54109	0.64794	0.35596	0.5279	0.53796	0.40821	0.46738	0.60632	0.5028	0.53059	0.49898	0.47964	0.63254	0.44528	0.52558	0.35224	0.34962	0.73398	0.46214	0.52732	0.75069	0.46131	0.3037	0.61782	0.27548	0.26844	0.454	0.24468	0.71304	0.38942	0.28497	0.55825	0.18615	0.47256	0.26676	0.070468	0.11196	0.14666	0.035153	0.046813	0.06327	0.099843	0.14874	0.21357	0.00058436	0.00093003	0.13692	0.22308	0.38223	0.52282	0.37637	0.34999	0.44199	0.13283	0.44359	0.55144	0.033508	0.043922	0.43189	0.51277	0.00058211	0.0010611	0.001129	0.21857
