Isocortex_FRP	Isocortex_MO	Isocortex_ORB	Isocortex_PTLp	Isocortex_RSPd	Isocortex_RSPv	Isocortex_SS	Isocortex_VIS	OlfactoryAreas_AOBgr	OlfactoryAreas_AOBmi	OlfactoryAreas_AON1	OlfactoryAreas_AON2	OlfactoryAreas_MOBgl	OlfactoryAreas_MOBgr	OlfactoryAreas_MOBipl	OlfactoryAreas_MOBmi	OlfactoryAreas_MOBopl	OlfactoryAreas_PIR1	OlfactoryAreas_PIR2	OlfactoryAreas_PIR3	Hippocampus_CA1slm	Hippocampus_CA1so	Hippocampus_CA1sp	Hippocampus_CA1sr	Hippocampus_CA2slm	Hippocampus_CA2so	Hippocampus_CA2sp	Hippocampus_CA2sr	Hippocampus_CA3slm	Hippocampus_CA3slu	Hippocampus_CA3so	Hippocampus_CA3sp	Hippocampus_CA3sr	Hippocampus_DGgrInf	Hippocampus_DGgrSup	Hippocampus_DGmoInf	Hippocampus_DGmoSup	Hippocampus_DGpo	Hippocampus_SUB	CorticalSubplate_CLA	CorticalSubplate_EPd	Striatum_ACBc	Striatum_ACBsh	Striatum_CP	Striatum_FS	Striatum_OT1	Striatum_OT2	Striatum_OT3	Striatum_isl	Pallidum_BST	Pallidum_GPi	Pallidum_MA	Pallidum_NDB	Pallidum_SI	Thalamus_AV	Thalamus_LD	Thalamus_LP	Thalamus_Others	Thalamus_PO	Thalamus_RT	Thalamus_SPFp	Thalamus_VAL	Thalamus_VM	Thalamus_VPL	Thalamus_VPM	Hypothalamus_LHA	Hypothalamus_LPO	Hypothalamus_PSTN	Hypothalamus_SO	Hypothalamus_STN	Hypothalamus_ZI	Midbrain_APN	Midbrain_CUN	Midbrain_IC	Midbrain_MEV	Midbrain_MRN	Midbrain_NOT	Midbrain_PPN	Midbrain_PPT	Midbrain_RR	Midbrain_SCm	Midbrain_SCs	Midbrain_SNc	Midbrain_SNr	Pons_NLL	Pons_PB	Pons_PG	Pons_PRNc	Pons_PRNr	Pons_SOC	Pons_SUT	Pons_V	Medulla_AMB	Medulla_CU	Medulla_ECU	Medulla_IRN	Medulla_LAV	Medulla_LI	Medulla_LRN	Medulla_MV	Medulla_MX	Medulla_PARN	Medulla_PGRNl	Medulla_SOL	Medulla_SPIV	Medulla_SPVC	Medulla_SPVI	Medulla_SPVO	Medulla_SUV	Medulla_VII	Cerebellum_ANcr1gr	Cerebellum_ANcr1mo	Cerebellum_ANcr2gr	Cerebellum_ANcr2mo	Cerebellum_CENT3gr	Cerebellum_CENT3mo	Cerebellum_COPYgr	Cerebellum_COPYmo	Cerebellum_CUL4,5gr	Cerebellum_CUL4,5mo	Cerebellum_FN	Cerebellum_FOTUgr	Cerebellum_FOTUmo	Cerebellum_IP	Cerebellum_NODgr	Cerebellum_NODmo	Cerebellum_PRMgr	Cerebellum_PRMmo	Cerebellum_PYRgr	Cerebellum_PYRmo	Cerebellum_SIMgr	Cerebellum_SIMmo	Cerebellum_UVUgr	Cerebellum_UVUmo
1	0.75224	0.71163	0.71886	0.41391	0.077337	0.60592	0.61314	0.0087303	0.023538	0.15916	0.27633	0.00080814	0.023843	0.042933	0.017464	0.036886	0.25719	0.18776	0.038578	0.068205	0.14794	0.017566	0.23689	0.0089731	0.01223	0.00024549	0.014901	0.0047382	0.001209	0.014079	0.00090404	0.026082	0.00020037	9.5784e-05	0.010918	0.011395	0.004948	0.27071	0.068802	0.054494	0.1451	0.1082	0.23211	0.063353	0.17301	0.089192	0.12283	0.027064	0.0021415	0.0010837	0.0016333	0.0041569	0.002145	0.0040297	0.0068003	0.0070449	0.015702	0.0035454	0.0010067	0.00043532	0.0012978	0.0011438	0.0017728	0.0020281	0.0015706	0.0016331	0.002537	0.0019629	0.0026077	0.00083331	0.00027637	0.000581	0.0051169	0.00039266	0.00057554	0.00043072	0.00028049	0.00043732	0.00047161	0.0023065	0.0035039	0.00046142	0.0010326	0.00051873	0.0019996	0.0030744	0.00040647	0.00035355	0.00025953	0.00049325	6.2778e-05	4.707e-05	0.0011594	0.0029835	0.00038964	9.4914e-05	0.0027564	0.00055579	8.3061e-05	0.0038706	0.0010595	0.00059106	0.0013838	0.00040117	0.003322	0.0019934	0.0055509	0.0002443	0.00053949	0.01194	0.015203	0.0094518	0.015835	0.0042345	0.0090903	0.0037642	0.017476	0.0047855	0.013772	0.00027745	0.012156	0.021354	0.00049814	0.0061505	0.0055493	0.006428	0.019672	0.0071793	0.016162	0.0096548	0.013428	0.0088353	0.011086
0.75224	1	0.98001	0.97362	0.769	0.29233	0.95864	0.91007	0.050412	0.10189	0.331	0.50177	0.0077744	0.093294	0.1403	0.066523	0.14064	0.54663	0.44136	0.1646	0.19246	0.24352	0.080002	0.28545	0.036884	0.043073	0.0020879	0.048693	0.020226	0.0038733	0.061252	0.0042271	0.078552	0.0015609	0.00083391	0.020064	0.021876	0.01931	0.60923	0.24973	0.21267	0.41192	0.34146	0.54275	0.23628	0.47854	0.29785	0.37693	0.10721	0.017567	0.0084387	0.015416	0.033188	0.019074	0.023168	0.032618	0.03395	0.061636	0.018894	0.007891	0.0030464	0.0087698	0.0089258	0.011731	0.013457	0.013993	0.014425	0.020159	0.013442	0.022202	0.0066754	0.0020631	0.0037457	0.031568	0.0029009	0.0041986	0.0032608	0.0018488	0.0025182	0.0038998	0.015808	0.02201	0.0047312	0.0095594	0.0039205	0.013027	0.018584	0.0030705	0.0029754	0.0023314	0.0039819	0.00063548	0.00050171	0.0090932	0.023335	0.0028199	0.00094768	0.019085	0.0057597	0.00078678	0.016793	0.0072745	0.0040515	0.011569	0.0035098	0.020819	0.012553	0.033696	0.0023819	0.0046372	0.038924	0.077718	0.032337	0.071887	0.017874	0.051632	0.01429	0.080399	0.017424	0.070793	0.0028729	0.03586	0.086166	0.0049356	0.022179	0.030565	0.023248	0.089329	0.022297	0.064991	0.03224	0.067217	0.029345	0.052626
0.71163	0.98001	1	0.95393	0.77993	0.34286	0.95796	0.94643	0.066091	0.13707	0.37303	0.55204	0.0094474	0.11522	0.16498	0.075839	0.17595	0.6019	0.47844	0.20583	0.18814	0.23627	0.080697	0.2557	0.042044	0.050608	0.0022707	0.054372	0.022184	0.0035535	0.072093	0.0044365	0.083766	0.0016445	0.00084528	0.017436	0.018958	0.02037	0.69352	0.30545	0.26297	0.42763	0.35141	0.62381	0.26047	0.5206	0.31029	0.40077	0.11083	0.024335	0.011403	0.018497	0.041501	0.02324	0.034075	0.045323	0.047781	0.084979	0.026751	0.011867	0.0048434	0.012895	0.013027	0.017128	0.018674	0.018723	0.019448	0.02759	0.018677	0.029373	0.0090308	0.0032272	0.0057354	0.041266	0.0043791	0.0062746	0.0052156	0.0028703	0.0039963	0.0057721	0.022278	0.031722	0.0065209	0.012121	0.0051418	0.018382	0.025809	0.0044452	0.0042897	0.003238	0.0053619	0.00088198	0.0006789	0.013118	0.030226	0.0040253	0.0012427	0.02587	0.0079504	0.0010742	0.023993	0.010099	0.0057432	0.015257	0.0048605	0.028415	0.017652	0.042911	0.0032641	0.0063813	0.037854	0.089065	0.030993	0.07944	0.018181	0.063504	0.013381	0.086929	0.016323	0.079937	0.0041056	0.03248	0.09015	0.0067897	0.022671	0.036667	0.021356	0.096443	0.022496	0.074088	0.029951	0.073898	0.030512	0.066245
0.71886	0.97362	0.95393	1	0.83161	0.29828	0.96492	0.94743	0.049112	0.10149	0.35382	0.50105	0.0085349	0.074891	0.11108	0.05122	0.14844	0.55742	0.4276	0.16002	0.20167	0.27546	0.078126	0.29575	0.043512	0.049245	0.0014876	0.053933	0.023749	0.0026402	0.062202	0.0028335	0.078131	0.0012566	0.00069978	0.020939	0.02318	0.013627	0.59974	0.26946	0.20861	0.4267	0.34509	0.56478	0.24636	0.50165	0.30153	0.38173	0.085894	0.016341	0.0066121	0.013991	0.030704	0.017023	0.026393	0.038501	0.039905	0.072061	0.023584	0.0074028	0.0027204	0.010924	0.010963	0.014024	0.015976	0.012447	0.012986	0.018187	0.011074	0.020682	0.0053419	0.0017957	0.0032362	0.026328	0.0024088	0.0034879	0.0033229	0.0015452	0.0022355	0.0033912	0.013729	0.02324	0.0039803	0.0080259	0.0030272	0.010789	0.015459	0.0024221	0.0024	0.001914	0.0030846	0.00051627	0.00038859	0.008508	0.021509	0.0022035	0.00072229	0.016332	0.0054932	0.00061802	0.013808	0.0057601	0.0031569	0.010899	0.0028918	0.017947	0.010696	0.028582	0.0019601	0.0039847	0.044406	0.089673	0.038488	0.085735	0.021441	0.060053	0.01667	0.092649	0.021169	0.082649	0.0026367	0.043195	0.10102	0.0043401	0.027769	0.038297	0.027046	0.10379	0.030521	0.079153	0.038893	0.077973	0.037851	0.06462
0.41391	0.769	0.77993	0.83161	1	0.46179	0.86505	0.87567	0.12751	0.21263	0.60133	0.67608	0.038746	0.12334	0.16077	0.077848	0.31149	0.78323	0.66076	0.31668	0.39351	0.46343	0.17606	0.37786	0.15492	0.15983	0.0039192	0.16724	0.093057	0.0037042	0.16931	0.0046808	0.19221	0.0035681	0.0022536	0.052362	0.058631	0.02362	0.61603	0.49938	0.3898	0.66311	0.60894	0.69476	0.4529	0.79227	0.56722	0.67218	0.15773	0.037497	0.013561	0.037228	0.073109	0.0395	0.068826	0.10602	0.10623	0.16291	0.07615	0.018396	0.0063284	0.039921	0.039644	0.046346	0.059477	0.030498	0.031095	0.043491	0.023962	0.052758	0.012284	0.0045208	0.0073406	0.048131	0.0057524	0.0079365	0.008975	0.0036688	0.004615	0.0089883	0.028243	0.050994	0.011089	0.020402	0.0074455	0.021502	0.033727	0.0056489	0.0062148	0.0052821	0.0074992	0.001682	0.0013382	0.021894	0.053746	0.0053045	0.0020599	0.038467	0.018374	0.0017396	0.022156	0.012505	0.0072101	0.031157	0.0081405	0.036722	0.022677	0.053499	0.0058796	0.011114	0.073234	0.1774	0.072534	0.17025	0.041955	0.13119	0.031114	0.17091	0.040555	0.16426	0.0086925	0.078449	0.18446	0.01266	0.052002	0.083532	0.053115	0.19543	0.059927	0.1453	0.071254	0.15088	0.067428	0.13476
0.077337	0.29233	0.34286	0.29828	0.46179	1	0.41777	0.38541	0.48507	0.62544	0.28044	0.30427	0.13775	0.41691	0.39459	0.25028	0.48513	0.44533	0.41396	0.69863	0.27599	0.11447	0.29913	0.059383	0.12076	0.10226	0.030303	0.089433	0.075915	0.0090465	0.3125	0.025052	0.15063	0.021401	0.011504	0.0078554	0.008775	0.067639	0.6759	0.82311	0.76137	0.66521	0.57795	0.77786	0.76886	0.68039	0.55785	0.58736	0.22726	0.3643	0.17571	0.29626	0.48004	0.34086	0.24565	0.18836	0.21121	0.25036	0.14506	0.19852	0.06352	0.11612	0.15441	0.14048	0.1413	0.31074	0.3232	0.34282	0.18213	0.3936	0.15471	0.051498	0.066538	0.3821	0.067747	0.093733	0.074749	0.036958	0.038046	0.10501	0.26847	0.28434	0.14989	0.21475	0.080659	0.19597	0.22528	0.071492	0.080963	0.073262	0.096351	0.026267	0.021083	0.20208	0.38215	0.061732	0.03305	0.2782	0.18822	0.027067	0.12406	0.12821	0.076881	0.25437	0.097671	0.2764	0.1834	0.38152	0.083215	0.12592	0.10856	0.52899	0.091089	0.39693	0.092426	0.50842	0.050424	0.41982	0.055918	0.47687	0.10373	0.063214	0.33563	0.1619	0.081443	0.28529	0.066197	0.44692	0.056759	0.32015	0.079554	0.42221	0.091567	0.37756
0.60592	0.95864	0.95796	0.96492	0.86505	0.41777	1	0.93936	0.079734	0.15077	0.37341	0.52281	0.014393	0.12262	0.17305	0.087239	0.1964	0.60523	0.49359	0.22843	0.25863	0.27508	0.12114	0.27514	0.055601	0.058948	0.0033739	0.064491	0.031919	0.0050118	0.094541	0.0060018	0.10461	0.0027477	0.0015104	0.021971	0.024136	0.024927	0.69938	0.35599	0.29119	0.54832	0.44834	0.67975	0.35064	0.6037	0.3964	0.47747	0.12846	0.030532	0.013864	0.027839	0.056235	0.033746	0.037529	0.048986	0.051424	0.087501	0.030486	0.013695	0.0047593	0.015257	0.016281	0.019713	0.022528	0.024278	0.02524	0.03299	0.019964	0.037733	0.01119	0.0033113	0.0056657	0.048781	0.0045852	0.0066647	0.0054834	0.0027914	0.0036801	0.0065298	0.025343	0.035786	0.0083816	0.016632	0.0063473	0.019839	0.027368	0.0048608	0.0048949	0.0040772	0.0066029	0.0011509	0.00089843	0.01551	0.039418	0.0044171	0.0016883	0.029988	0.010799	0.0013806	0.022041	0.011212	0.0061986	0.020733	0.0059614	0.031874	0.019103	0.052105	0.0042692	0.0080886	0.062204	0.13388	0.052062	0.12325	0.032347	0.092143	0.02453	0.1366	0.029777	0.12335	0.0052121	0.053901	0.14028	0.0089724	0.037775	0.057	0.037998	0.15055	0.036164	0.10804	0.051897	0.11689	0.04866	0.088895
0.61314	0.91007	0.94643	0.94743	0.87567	0.38541	0.93936	1	0.082249	0.16871	0.46818	0.61373	0.014424	0.10264	0.13647	0.058052	0.22446	0.68278	0.51233	0.2398	0.20954	0.28962	0.083773	0.26436	0.063912	0.076017	0.0016382	0.07628	0.033211	0.0020277	0.087823	0.0027378	0.094714	0.0012776	0.00068176	0.019593	0.021779	0.013849	0.72665	0.38835	0.30249	0.46274	0.37843	0.70091	0.29426	0.60328	0.3384	0.44627	0.094473	0.027379	0.010125	0.018884	0.044545	0.022975	0.054672	0.07499	0.078721	0.13408	0.048579	0.01451	0.0059057	0.024153	0.023672	0.030135	0.03222	0.020097	0.020951	0.030767	0.019035	0.033817	0.0084308	0.0037549	0.0065854	0.039463	0.0047278	0.006627	0.0078862	0.0032198	0.0047028	0.0065411	0.023456	0.044798	0.0067583	0.011767	0.0046166	0.018307	0.026736	0.0044154	0.0044117	0.0032721	0.004896	0.00093924	0.00064546	0.016153	0.033805	0.0039478	0.0011679	0.027754	0.010155	0.0010733	0.024871	0.0097145	0.0055333	0.017654	0.0050728	0.030183	0.0188	0.041602	0.0033944	0.0070927	0.042646	0.11702	0.03772	0.10578	0.022214	0.089011	0.014989	0.10698	0.019599	0.10522	0.0051514	0.039548	0.11328	0.007553	0.029335	0.053826	0.024618	0.12151	0.034491	0.10326	0.036112	0.094159	0.041434	0.10072
0.0087303	0.050412	0.066091	0.049112	0.12751	0.48507	0.079734	0.082249	1	0.8363	0.20858	0.17871	0.48661	0.56632	0.39661	0.24134	0.52612	0.22981	0.2827	0.7711	0.16024	0.052103	0.27668	0.019757	0.20696	0.1941	0.057752	0.15935	0.14216	0.0052687	0.46013	0.02547	0.18323	0.030595	0.016487	0.0079214	0.0086649	0.081112	0.20474	0.56515	0.70253	0.2786	0.32584	0.27679	0.42592	0.33779	0.35787	0.36638	0.28711	0.49379	0.3014	0.37842	0.58118	0.37107	0.44093	0.32283	0.34844	0.30171	0.28984	0.45114	0.20316	0.2993	0.37019	0.33744	0.38687	0.5173	0.48845	0.59215	0.43209	0.66255	0.32362	0.18943	0.21641	0.49753	0.23288	0.26685	0.25183	0.1581	0.10236	0.3425	0.44479	0.40849	0.39021	0.40235	0.24041	0.36728	0.55886	0.23941	0.29646	0.24151	0.2587	0.13666	0.10666	0.53659	0.68055	0.2352	0.12305	0.7011	0.61651	0.11173	0.27235	0.33504	0.26219	0.57171	0.3564	0.54231	0.42785	0.50085	0.30882	0.43628	0.038549	0.29631	0.039829	0.19804	0.036803	0.38549	0.017405	0.17522	0.019718	0.25093	0.39942	0.025251	0.14028	0.44854	0.032094	0.15166	0.02767	0.19921	0.026216	0.15634	0.028721	0.19902	0.034905	0.2649
0.023538	0.10189	0.13707	0.10149	0.21263	0.62544	0.15077	0.16871	0.8363	1	0.31138	0.29084	0.26021	0.53608	0.42181	0.22969	0.71365	0.35546	0.37414	0.87388	0.14518	0.067286	0.1878	0.027315	0.17598	0.19364	0.026915	0.14916	0.098609	0.0031003	0.35416	0.014278	0.14794	0.016268	0.0084832	0.0064572	0.00711	0.052526	0.36036	0.76682	0.85363	0.32187	0.33564	0.44706	0.4464	0.43704	0.3669	0.41128	0.21574	0.47033	0.23252	0.25111	0.47222	0.27433	0.56101	0.4335	0.47376	0.47455	0.35955	0.44037	0.22149	0.33233	0.37335	0.3841	0.37916	0.40018	0.40449	0.52544	0.39275	0.53809	0.23054	0.18179	0.22161	0.43392	0.20575	0.24338	0.27199	0.15	0.13463	0.27752	0.42826	0.50572	0.25917	0.25575	0.1465	0.35679	0.48762	0.18226	0.20743	0.1596	0.16478	0.067933	0.04919	0.46335	0.5303	0.1659	0.057572	0.54407	0.39114	0.058867	0.30576	0.25851	0.19511	0.41545	0.22268	0.47596	0.38389	0.42595	0.17176	0.26261	0.038394	0.31702	0.037088	0.21569	0.034886	0.4092	0.015492	0.19232	0.017961	0.26546	0.26021	0.023984	0.1551	0.29091	0.036256	0.18343	0.022995	0.21476	0.029642	0.19213	0.026921	0.20675	0.043805	0.351
0.15916	0.331	0.37303	0.35382	0.60133	0.28044	0.37341	0.46818	0.20858	0.31138	1	0.89686	0.085907	0.12964	0.1427	0.052734	0.47427	0.8814	0.82498	0.42716	0.29058	0.48428	0.11689	0.32468	0.38551	0.5219	0.0028222	0.49937	0.20918	0.0010973	0.24316	0.0019985	0.29591	0.0019102	0.0012556	0.099856	0.11209	0.016836	0.35255	0.50691	0.47581	0.37507	0.45669	0.41847	0.2763	0.67393	0.47767	0.6438	0.18351	0.035143	0.011219	0.026966	0.06268	0.025318	0.14796	0.29045	0.27251	0.36062	0.23184	0.025983	0.013461	0.12915	0.10308	0.13875	0.19863	0.029783	0.028653	0.054411	0.037435	0.061779	0.011527	0.0091196	0.01455	0.038285	0.0099857	0.011988	0.022701	0.0082715	0.009045	0.014876	0.029265	0.068777	0.013667	0.018008	0.0082042	0.024979	0.054034	0.0084326	0.009845	0.0065756	0.0078181	0.002668	0.0019467	0.032806	0.056666	0.0082668	0.0023724	0.056857	0.028885	0.0023627	0.033876	0.015597	0.010776	0.035509	0.011849	0.042735	0.030291	0.041141	0.0077857	0.015621	0.017663	0.081733	0.021417	0.07135	0.010263	0.07805	0.0064206	0.059613	0.0091982	0.070957	0.01532	0.023675	0.067235	0.015342	0.015243	0.039354	0.013902	0.073559	0.023371	0.064423	0.018287	0.056736	0.021582	0.096949
