Isocortex_FRP	Isocortex_MO	Isocortex_ORB	Isocortex_PTLp	Isocortex_RSPd	Isocortex_RSPv	Isocortex_SS	Isocortex_VIS	OlfactoryAreas_AOBgl	OlfactoryAreas_AOBgr	OlfactoryAreas_AOBmi	OlfactoryAreas_AON1	OlfactoryAreas_AON2	OlfactoryAreas_MOBgl	OlfactoryAreas_MOBgr	OlfactoryAreas_MOBipl	OlfactoryAreas_MOBmi	OlfactoryAreas_MOBopl	OlfactoryAreas_PIR1	OlfactoryAreas_PIR2	OlfactoryAreas_PIR3	Hippocampus_CA1slm	Hippocampus_CA1so	Hippocampus_CA1sp	Hippocampus_CA1sr	Hippocampus_CA2slm	Hippocampus_CA2so	Hippocampus_CA2sp	Hippocampus_CA2sr	Hippocampus_CA3slm	Hippocampus_CA3slu	Hippocampus_CA3so	Hippocampus_CA3sp	Hippocampus_CA3sr	Hippocampus_DGgrInf	Hippocampus_DGgrSup	Hippocampus_DGmoInf	Hippocampus_DGmoSup	Hippocampus_DgmoInf	CorticalSubplate_CLA	CorticalSubplate_EPd	Striatum_ACBc	Striatum_ACBsh	Striatum_CP	Striatum_FS	Striatum_OT1	Striatum_OT2	Striatum_OT3	Striatum_isl	Pallidum_BST	Pallidum_MA	Pallidum_NDB	Pallidum_SI	Thalamus_LD	Thalamus_LP	Thalamus_Others	Thalamus_RT	Thalamus_SPFp	Thalamus_VAL	Thalamus_VM	Thalamus_VPL	Thalamus_VPM	Thalamus_VPMpc	Hypothalamus_LHA	Hypothalamus_LPO	Hypothalamus_PSTN	Hypothalamus_SO	Hypothalamus_ZI	Midbrain_APN	Midbrain_CUN	Midbrain_IC	Midbrain_MEV	Midbrain_MRN	Midbrain_NOT	Midbrain_PPT	Midbrain_RN	Midbrain_RR	Midbrain_SCm	Midbrain_SCs	Midbrain_SNc	Midbrain_SNr	Pons_PG	Pons_PRNc	Pons_PRNr	Pons_SOC	Pons_SUT	Medulla_CU	Medulla_LAV	Medulla_LRN	Medulla_MDRN	Medulla_MV	Medulla_MX	Medulla_PARN	Medulla_PGRNl	Medulla_SOL	Medulla_SPIV	Medulla_SPVI	Medulla_SPVO	Medulla_SUV	Medulla_VII	Cerebellum_ANcr1gr	Cerebellum_ANcr1mo	Cerebellum_ANcr2gr	Cerebellum_ANcr2mo	Cerebellum_CENT2gr	Cerebellum_CENT2mo	Cerebellum_CENT3gr	Cerebellum_CENT3mo	Cerebellum_CUL4,5gr	Cerebellum_CUL4,5mo	Cerebellum_DECgr	Cerebellum_DECmo	Cerebellum_FN	Cerebellum_FOTUgr	Cerebellum_FOTUmo	Cerebellum_IP	Cerebellum_NODgr	Cerebellum_NODmo	Cerebellum_PRMgr	Cerebellum_PRMmo	Cerebellum_PYRgr	Cerebellum_PYRmo	Cerebellum_SIMgr	Cerebellum_SIMmo	Cerebellum_UVUmo
1	0.82801	0.85334	0.85948	0.59771	0.24721	0.82417	0.82264	0.055648	0.019871	0.030258	0.078571	0.089064	0.0044684	0.04034	0.047319	0.039819	0.024043	0.093366	0.094827	0.0040637	0.2248	0.075932	0.042051	0.10145	0.012898	0.0079066	0.01006	0.0076223	0.011455	0.096543	0.024996	0.052509	0.033702	0.0037116	0.0021489	0.0097357	0.011656	0.1168	0.036515	0.042123	0.4041	0.27718	0.39986	0.085672	0.29137	0.23477	0.23471	0.12154	0.001046	1.4945e-05	0.00058676	0.00069378	0.013059	0.02922	0.037383	0.021915	0.017727	0.024566	0.0091201	0.014467	0.014112	0.01175	0.0022982	0.0020227	0.001561	0.0065297	0.0018042	0.0006347	0.00083459	0.0016473	0.0011967	0.00075967	0.00024562	0.00077853	0.00045734	0.00064768	0.00051678	0.00077006	0.00063037	0.0013988	0.032214	0.042404	0.028495	0.025322	0.024204	0.021128	0.008065	0.015771	0.014548	0.021204	0.0076171	0.036145	0.044445	0.009672	0.019363	0.0008272	0.007809	0.088202	0.0012413	0.026681	0.019614	0.026301	0.026563	0.0019275	0.0020502	0.0061432	0.0068623	0.0071303	0.0065133	0.0026014	0.0017876	0.001393	0.0021413	0.0027776	0.0022157	0.0057575	0.0059293	0.021537	0.024088	0.005728	0.0067356	0.033467	0.017743	0.0053074
0.82801	1	0.98191	0.89455	0.8722	0.51526	0.9907	0.90256	0.1254	0.056052	0.076704	0.1357	0.144	0.016782	0.080964	0.086158	0.064733	0.05806	0.14131	0.14953	0.009131	0.33957	0.11772	0.083068	0.10223	0.037837	0.021562	0.016528	0.018287	0.035371	0.11588	0.080578	0.070866	0.078005	0.0057422	0.0035123	0.013482	0.016515	0.16518	0.09932	0.10988	0.66761	0.50639	0.67878	0.22542	0.53063	0.427	0.45571	0.27167	0.0028526	4.4857e-05	0.0017667	0.002198	0.045927	0.078757	0.10784	0.063221	0.052173	0.067693	0.033284	0.052699	0.049647	0.038003	0.0067797	0.0061268	0.0048554	0.013364	0.0049619	0.001874	0.0025829	0.0046657	0.0031504	0.0021253	0.00099152	0.0022061	0.001401	0.0019041	0.001676	0.0023459	0.0022366	0.0047375	0.076259	0.096873	0.061491	0.058144	0.041431	0.059165	0.020899	0.048253	0.042578	0.052503	0.018944	0.081675	0.099247	0.023737	0.046545	0.0024175	0.020843	0.16862	0.0027091	0.042887	0.054273	0.042002	0.072338	0.003743	0.0064578	0.01104	0.021055	0.01158	0.019586	0.0045301	0.0054129	0.0041018	0.0042787	0.0077639	0.0071105	0.011188	0.020024	0.035402	0.065061	0.01136	0.018429	0.05587	0.053169	0.011013
0.85334	0.98191	1	0.90922	0.83021	0.48427	0.96454	0.91968	0.12269	0.048723	0.065861	0.13568	0.14424	0.01356	0.069263	0.071039	0.051739	0.04933	0.14832	0.14866	0.0089333	0.30166	0.11354	0.060652	0.10543	0.033633	0.020518	0.011536	0.017044	0.030378	0.087965	0.06836	0.052454	0.068963	0.0039787	0.0024308	0.013168	0.015746	0.14117	0.089905	0.10264	0.61357	0.46756	0.66275	0.19444	0.51558	0.37184	0.41725	0.24245	0.0025673	4.4456e-05	0.0016065	0.0018313	0.047503	0.084708	0.11367	0.066038	0.052802	0.071695	0.033979	0.054771	0.05193	0.038989	0.0065579	0.005834	0.0047831	0.012549	0.0048706	0.0018513	0.002561	0.0044758	0.003165	0.0021198	0.0009802	0.0021529	0.0014343	0.0017922	0.0016476	0.0022939	0.0021766	0.004151	0.078537	0.099392	0.062294	0.057916	0.042521	0.055809	0.020506	0.043888	0.041155	0.053195	0.017682	0.081383	0.10193	0.024528	0.045459	0.0021353	0.020179	0.1735	0.003029	0.031508	0.037533	0.031251	0.050813	0.0027785	0.0053445	0.0081194	0.016277	0.0086979	0.014829	0.0034957	0.0041567	0.003781	0.0033895	0.0062819	0.0067647	0.0081694	0.016247	0.026004	0.04548	0.0086293	0.013938	0.042398	0.03742	0.0081495
0.85948	0.89455	0.90922	1	0.78305	0.31591	0.9268	0.98739	0.078241	0.028704	0.043079	0.15135	0.16548	0.0098519	0.043173	0.052945	0.037835	0.042108	0.17295	0.17131	0.0082404	0.35576	0.17556	0.051878	0.19571	0.039032	0.023457	0.0071169	0.02171	0.035945	0.077723	0.062321	0.038766	0.08701	0.0031016	0.0019504	0.026816	0.032174	0.10506	0.073774	0.078052	0.57618	0.46979	0.54213	0.12129	0.51595	0.38335	0.42321	0.20066	0.0016141	2.5331e-05	0.00086974	0.0010841	0.028478	0.06502	0.077109	0.058613	0.021325	0.032415	0.024889	0.032058	0.033161	0.033539	0.0032389	0.0028118	0.0023177	0.0070415	0.0022052	0.00084594	0.0012639	0.0023349	0.0015109	0.00094892	0.00045877	0.00098318	0.00065003	0.00081918	0.00076867	0.0010772	0.0010876	0.0021127	0.036594	0.050889	0.025894	0.024175	0.016721	0.028334	0.0091799	0.024166	0.02113	0.024848	0.0078289	0.039236	0.054296	0.01146	0.019846	0.001362	0.0094972	0.086115	0.0018652	0.034477	0.032917	0.035432	0.044084	0.0026826	0.0034789	0.0082571	0.011843	0.0097767	0.011499	0.0037353	0.0031237	0.0015513	0.0035368	0.0049251	0.0028776	0.007924	0.011107	0.028884	0.038909	0.0087294	0.011271	0.04611	0.028773	0.0077702
0.59771	0.8722	0.83021	0.78305	1	0.65178	0.88562	0.84065	0.20799	0.10769	0.14303	0.2354	0.24251	0.048645	0.12509	0.13893	0.094286	0.12821	0.21154	0.24997	0.01607	0.50997	0.21959	0.14525	0.15481	0.11027	0.065516	0.021528	0.056165	0.10409	0.136	0.19995	0.084044	0.19079	0.010758	0.0073614	0.034906	0.042559	0.22458	0.19727	0.20667	0.85047	0.76755	0.80006	0.36631	0.7461	0.68429	0.72261	0.47714	0.0059639	0.00010478	0.0037844	0.004603	0.10233	0.16402	0.20817	0.14975	0.079388	0.10536	0.086515	0.11053	0.10992	0.098886	0.013428	0.012209	0.010134	0.023506	0.0094274	0.0038849	0.0055775	0.0091162	0.0059492	0.004145	0.0024428	0.0044464	0.0030242	0.0040292	0.0037327	0.0048827	0.0050816	0.010293	0.11546	0.14688	0.081739	0.081561	0.047024	0.10534	0.03511	0.096852	0.081139	0.083402	0.032079	0.11763	0.14976	0.039218	0.070771	0.005661	0.03787	0.20736	0.0051521	0.079842	0.10838	0.081188	0.13587	0.0071969	0.012785	0.020548	0.041279	0.021287	0.038552	0.008586	0.011118	0.0080947	0.0090861	0.015321	0.01403	0.022034	0.042154	0.06951	0.12292	0.023357	0.036565	0.10441	0.1046	0.022451
0.24721	0.51526	0.48427	0.31591	0.65178	1	0.47677	0.36912	0.3631	0.24511	0.25111	0.13249	0.12616	0.09722	0.21724	0.16847	0.11029	0.14319	0.099548	0.1288	0.014039	0.24099	0.066622	0.14849	0.028237	0.079358	0.049382	0.035488	0.033793	0.072622	0.09804	0.21918	0.088091	0.10337	0.013525	0.0095057	0.0072864	0.0088245	0.24976	0.23496	0.2771	0.60328	0.53326	0.7151	0.71561	0.49617	0.46059	0.50383	0.54922	0.011993	0.00027963	0.010632	0.010899	0.26838	0.2429	0.38563	0.17694	0.35773	0.39956	0.16257	0.29502	0.24931	0.13081	0.045239	0.043572	0.036494	0.056291	0.03644	0.015318	0.019687	0.027183	0.020522	0.016503	0.010441	0.017183	0.0125	0.015884	0.015055	0.018579	0.018144	0.035071	0.40556	0.4148	0.32448	0.33501	0.17993	0.33315	0.13457	0.28168	0.26021	0.29549	0.12257	0.36001	0.39443	0.13838	0.26833	0.012468	0.13741	0.5529	0.011149	0.053578	0.12236	0.052154	0.15083	0.0061563	0.025679	0.015751	0.066728	0.013229	0.055063	0.0059441	0.017031	0.039628	0.0072266	0.021001	0.064797	0.018898	0.081015	0.047125	0.14115	0.019489	0.047831	0.072246	0.15527	0.020619
0.82417	0.9907	0.96454	0.9268	0.88562	0.47677	1	0.92931	0.11595	0.052236	0.073768	0.14753	0.15709	0.017125	0.075435	0.084681	0.063167	0.06021	0.15469	0.16306	0.0099199	0.37887	0.1405	0.087001	0.12446	0.042935	0.023739	0.015293	0.020629	0.040685	0.11787	0.086158	0.068844	0.089196	0.0057063	0.0035113	0.01696	0.020965	0.15717	0.10276	0.10982	0.69153	0.53398	0.67038	0.21258	0.55638	0.45705	0.48383	0.27094	0.0028041	4.3403e-05	0.0016566	0.0021595	0.041587	0.075238	0.10049	0.063639	0.042086	0.055808	0.032087	0.047832	0.045964	0.038087	0.0060461	0.0054477	0.0042923	0.012024	0.0042917	0.0016411	0.0023137	0.0042712	0.0027631	0.001843	0.00089013	0.0019211	0.0012171	0.0016745	0.0014762	0.0020819	0.0020388	0.0043396	0.063291	0.081507	0.049329	0.046941	0.031856	0.052106	0.017781	0.043619	0.037297	0.044361	0.016119	0.069382	0.086233	0.020175	0.038596	0.0023822	0.01798	0.14039	0.0025157	0.048776	0.059685	0.048084	0.078969	0.0042899	0.0065802	0.012689	0.022142	0.013601	0.021047	0.0052919	0.0058157	0.0034667	0.0049638	0.0083571	0.0060689	0.012694	0.020529	0.040521	0.070859	0.013014	0.019979	0.063403	0.056314	0.012467
0.82264	0.90256	0.91968	0.98739	0.84065	0.36912	0.92931	1	0.10347	0.038352	0.055831	0.18012	0.19529	0.013881	0.054047	0.064625	0.04492	0.055198	0.19588	0.20168	0.0096104	0.38408	0.19759	0.059693	0.20706	0.051979	0.033284	0.0081154	0.030435	0.046888	0.080989	0.081077	0.041647	0.10935	0.0037864	0.0024616	0.033165	0.039138	0.12404	0.092453	0.09971	0.62366	0.5343	0.59871	0.14919	0.57997	0.43548	0.48513	0.24953	0.0021393	3.5739e-05	0.0012101	0.0014232	0.041751	0.091422	0.1062	0.082229	0.029737	0.044948	0.036864	0.045848	0.047965	0.048704	0.0045671	0.0039661	0.0033708	0.0095106	0.0031393	0.0012339	0.0018319	0.003203	0.0021446	0.0013671	0.00069594	0.0014305	0.0009741	0.0011919	0.0011463	0.0015462	0.0015746	0.002968	0.04959	0.069577	0.03443	0.032375	0.022188	0.038572	0.012628	0.033552	0.029941	0.033754	0.010729	0.051572	0.071612	0.015862	0.026977	0.001874	0.013287	0.10958	0.0025908	0.037701	0.037017	0.03918	0.04905	0.0029629	0.0042768	0.0089486	0.013973	0.010443	0.013332	0.0040795	0.0036878	0.0022539	0.0040519	0.0057817	0.0041606	0.0088654	0.013775	0.031936	0.043336	0.0098739	0.013004	0.050736	0.033094	0.0088137
0.055648	0.1254	0.12269	0.078241	0.20799	0.3631	0.11595	0.10347	1	0.7132	0.70854	0.31298	0.30549	0.37555	0.54762	0.42133	0.25944	0.54994	0.1849	0.31195	0.068165	0.19302	0.073929	0.13927	0.029645	0.16509	0.18185	0.026573	0.12997	0.11324	0.061471	0.32599	0.057691	0.16677	0.019384	0.015892	0.018714	0.019519	0.31207	0.51242	0.70109	0.29047	0.33895	0.38257	0.50836	0.30042	0.29768	0.32537	0.52679	0.14154	0.011592	0.15548	0.11133	0.40663	0.39681	0.47359	0.27814	0.36962	0.42004	0.29632	0.37851	0.37651	0.24579	0.35835	0.33435	0.35124	0.37178	0.29736	0.19797	0.23044	0.24527	0.23612	0.19424	0.15571	0.22225	0.18776	0.20105	0.21527	0.20172	0.20253	0.28002	0.46383	0.55424	0.33691	0.33787	0.19612	0.66528	0.4521	0.65287	0.71446	0.5358	0.42009	0.6012	0.67465	0.50789	0.51697	0.16433	0.53483	0.40987	0.15927	0.03827	0.065524	0.040502	0.076807	0.021097	0.10691	0.028538	0.13303	0.023963	0.1016	0.020635	0.060076	0.25463	0.031179	0.074632	0.3655	0.040027	0.19894	0.034936	0.072226	0.044278	0.089295	0.052494	0.088528	0.046176
0.019871	0.056052	0.048723	0.028704	0.10769	0.24511	0.052236	0.038352	0.7132	1	0.94589	0.17858	0.1688	0.64216	0.77009	0.59478	0.40417	0.62015	0.087825	0.17424	0.074927	0.15204	0.036703	0.27667	0.010518	0.12329	0.099461	0.066633	0.070491	0.097677	0.094732	0.33368	0.10855	0.11921	0.047399	0.038515	0.0072346	0.0084757	0.32277	0.51151	0.62992	0.20393	0.23043	0.22625	0.57833	0.16764	0.24537	0.2252	0.44072	0.25499	0.022455	0.29065	0.28155	0.21686	0.153	0.22047	0.11268	0.25909	0.25852	0.14474	0.20643	0.18397	0.10408	0.49723	0.50242	0.44828	0.51486	0.41519	0.28907	0.31872	0.38104	0.31881	0.28172	0.21963	0.33601	0.23917	0.34301	0.31393	0.30881	0.29794	0.56415	0.35351	0.35621	0.28516	0.30552	0.13802	0.7443	0.56227	0.78187	0.69026	0.50968	0.60384	0.57083	0.54338	0.51305	0.53437	0.33418	0.66315	0.26962	0.1495	0.07749	0.16693	0.077291	0.18166	0.066961	0.24929	0.080847	0.32666	0.061045	0.26512	0.055902	0.17839	0.40332	0.080312	0.18277	0.53279	0.11795	0.43152	0.072355	0.17672	0.11615	0.24061	0.09652	0.2279	0.13262
