Isocortex_FRP	Isocortex_MO	Isocortex_ORB	Isocortex_PTLp	Isocortex_RSPd	Isocortex_RSPv	Isocortex_SS	Isocortex_VIS	OlfactoryAreas_AOBgl	OlfactoryAreas_AOBgr	OlfactoryAreas_AON1	OlfactoryAreas_AON2	OlfactoryAreas_MOBgl	OlfactoryAreas_MOBgr	OlfactoryAreas_MOBipl	OlfactoryAreas_MOBmi	OlfactoryAreas_MOBopl	OlfactoryAreas_PIR1	OlfactoryAreas_PIR2	OlfactoryAreas_PIR3	Hippocampus_CA1slm	Hippocampus_CA1so	Hippocampus_CA1sp	Hippocampus_CA1sr	Hippocampus_CA2slm	Hippocampus_CA2so	Hippocampus_CA2sp	Hippocampus_CA2sr	Hippocampus_CA3slm	Hippocampus_CA3slu	Hippocampus_CA3so	Hippocampus_CA3sp	Hippocampus_CA3sr	Hippocampus_DGgrInf	Hippocampus_DGgrSup	Hippocampus_DGmoInf	Hippocampus_DGmoSup	Hippocampus_DGpo	Hippocampus_DgmoInf	Hippocampus_SUB	CorticalSubplate_CLA	CorticalSubplate_EPd	Striatum_ACBc	Striatum_ACBsh	Striatum_CP	Striatum_FS	Striatum_OT1	Striatum_OT2	Striatum_OT3	Striatum_isl	Pallidum_BST	Pallidum_GPi	Pallidum_MA	Pallidum_NDB	Pallidum_SI	Thalamus_AV	Thalamus_LD	Thalamus_LP	Thalamus_PO	Thalamus_RT	Thalamus_SPFp	Thalamus_VAL	Thalamus_VM	Thalamus_VPL	Thalamus_VPM	Hypothalamus_LHA	Hypothalamus_LM	Hypothalamus_LPO	Hypothalamus_PSTN	Hypothalamus_SO	Hypothalamus_STN	Hypothalamus_ZI	Midbrain_APN	Midbrain_CUN	Midbrain_IC	Midbrain_MEV	Midbrain_MRN	Midbrain_NOT	Midbrain_PPN	Midbrain_PPT	Midbrain_RN	Midbrain_RR	Midbrain_SCm	Midbrain_SCs	Midbrain_SNc	Midbrain_SNr	Pons_PB	Pons_PG	Pons_PRNc	Pons_PRNr	Pons_SOC	Pons_SUT	Pons_V	Medulla_AMB	Medulla_CU	Medulla_IRN	Medulla_LAV	Medulla_LI	Medulla_LRN	Medulla_MDRN	Medulla_MV	Medulla_PARN	Medulla_PGRNl	Medulla_SOL	Medulla_SPIV	Medulla_SPVC	Medulla_SPVI	Medulla_SUV	Medulla_VII	Cerebellum_ANcr2gr	Cerebellum_ANcr2mo	Cerebellum_CENT2gr	Cerebellum_CENT2mo	Cerebellum_CENT3gr	Cerebellum_CENT3mo	Cerebellum_CUL4,5gr	Cerebellum_CUL4,5mo	Cerebellum_DECgr	Cerebellum_DECmo	Cerebellum_FN	Cerebellum_FOTUgr	Cerebellum_FOTUmo	Cerebellum_IP	Cerebellum_NODgr	Cerebellum_NODmo	Cerebellum_PRMgr	Cerebellum_PRMmo	Cerebellum_PYRgr	Cerebellum_PYRmo	Cerebellum_SIMgr	Cerebellum_SIMmo	Cerebellum_UVUgr	Cerebellum_UVUmo
1	0.96981	0.92141	0.93376	0.6484	0.60778	0.91361	0.72482	0.33657	0.28595	0.4296	0.69223	0.12129	0.17211	0.27123	0.12477	0.52801	0.71109	0.6347	0.47631	0.71731	0.66224	0.16958	0.61774	0.48397	0.51316	0.056284	0.3952	0.34697	0.0033065	0.37774	0.012816	0.4205	0.024914	0.027563	0.34336	0.23612	0.069581	0.25937	0.57301	0.48018	0.46972	0.73709	0.77337	0.73489	0.51042	0.8185	0.63609	0.71759	0.33522	0.13332	0.064255	0.18503	0.2062	0.15986	0.15336	0.23278	0.21206	0.29911	0.034544	0.099088	0.254	0.17448	0.18439	0.24861	0.16452	0.06729	0.14901	0.24187	0.087744	0.1655	0.060208	0.070781	0.075748	0.24426	0.047747	0.05943	0.08892	0.051245	0.094009	0.044251	0.047429	0.098805	0.17057	0.087806	0.10471	0.080008	0.14511	0.045754	0.047215	0.040541	0.077156	0.050513	0.069726	0.16615	0.059864	0.05364	0.17291	0.11627	0.051046	0.045424	0.075684	0.044634	0.11527	0.088479	0.089195	0.087812	0.04958	0.058069	0.17024	0.10635	0.33956	0.18957	0.28205	0.16236	0.27688	0.18096	0.36653	0.20404	0.030691	0.30513	0.20545	0.055247	0.32158	0.095499	0.16828	0.080063	0.26207	0.23059	0.1578	0.082209	0.30192	0.10028
0.96981	1	0.97806	0.98166	0.73281	0.69652	0.97497	0.7616	0.40079	0.35228	0.49982	0.76613	0.15787	0.20465	0.31037	0.14748	0.56712	0.78455	0.73079	0.55597	0.74219	0.64051	0.2225	0.57011	0.51085	0.53996	0.077224	0.42555	0.36855	0.0036623	0.41356	0.015768	0.44311	0.035298	0.03822	0.34535	0.24307	0.083149	0.25738	0.63905	0.5676	0.55484	0.83196	0.87217	0.80021	0.60265	0.90143	0.74134	0.81745	0.4133	0.16363	0.081516	0.22996	0.26483	0.20919	0.17288	0.25911	0.23809	0.32195	0.041744	0.11286	0.27817	0.19537	0.20564	0.27989	0.20527	0.085615	0.18595	0.30843	0.11062	0.20266	0.070538	0.085375	0.089737	0.28238	0.054184	0.069782	0.1111	0.061617	0.11082	0.051789	0.057077	0.11553	0.20395	0.10907	0.13398	0.091088	0.17368	0.052694	0.055279	0.048288	0.090614	0.057046	0.081467	0.19219	0.067616	0.063985	0.19249	0.13655	0.055156	0.054635	0.086944	0.051422	0.13389	0.10889	0.096938	0.1008	0.059279	0.067648	0.20187	0.135	0.38661	0.22425	0.3214	0.20005	0.31992	0.21928	0.40589	0.24616	0.039319	0.35505	0.24939	0.067835	0.36073	0.11918	0.19731	0.096998	0.30259	0.27783	0.1906	0.10255	0.34383	0.12177
0.92141	0.97806	1	0.98257	0.82601	0.79556	0.98408	0.81831	0.50775	0.45647	0.60583	0.84688	0.21804	0.27642	0.39596	0.19654	0.6586	0.87022	0.83406	0.66227	0.75923	0.61625	0.28483	0.52284	0.5554	0.58821	0.11302	0.48415	0.4104	0.0044347	0.49332	0.021691	0.49633	0.05572	0.056633	0.35697	0.2488	0.11419	0.27519	0.70465	0.67224	0.66677	0.8926	0.92476	0.8658	0.6991	0.9447	0.83051	0.89656	0.51017	0.21725	0.11501	0.29999	0.34989	0.28036	0.21348	0.2994	0.28093	0.36159	0.057108	0.1456	0.32073	0.2314	0.24332	0.32647	0.27243	0.12206	0.24771	0.39463	0.15211	0.26126	0.097995	0.11787	0.12281	0.34781	0.074913	0.096267	0.15112	0.087527	0.1476	0.071447	0.081123	0.15202	0.25892	0.15182	0.18611	0.12144	0.23577	0.073477	0.077775	0.069804	0.12393	0.078352	0.11013	0.24464	0.091595	0.090468	0.23814	0.17964	0.07155	0.079536	0.11627	0.071913	0.18015	0.15068	0.12086	0.13133	0.084393	0.094028	0.23314	0.17662	0.41307	0.26938	0.35299	0.25064	0.34462	0.27044	0.40459	0.30065	0.056599	0.38559	0.30539	0.095048	0.37518	0.15525	0.22586	0.12073	0.31539	0.32962	0.22861	0.13734	0.36441	0.15343
0.93376	0.98166	0.98257	1	0.81953	0.77553	0.99669	0.82465	0.45439	0.39887	0.54427	0.80604	0.19269	0.23001	0.33303	0.16412	0.61077	0.80145	0.78581	0.61899	0.77887	0.64106	0.27514	0.53895	0.56972	0.59308	0.098499	0.48295	0.42789	0.0038529	0.50505	0.018028	0.5135	0.046712	0.049069	0.34633	0.24444	0.092362	0.26924	0.71209	0.64557	0.60896	0.90212	0.91696	0.86908	0.68379	0.92273	0.78404	0.85426	0.43375	0.18717	0.096534	0.26549	0.30494	0.24285	0.18664	0.28623	0.26279	0.34594	0.050969	0.12324	0.30736	0.22178	0.22823	0.31859	0.22932	0.092141	0.2096	0.35274	0.12115	0.23424	0.078941	0.098628	0.10126	0.30296	0.05883	0.077783	0.13378	0.07036	0.12519	0.058181	0.065418	0.12769	0.23203	0.12447	0.15234	0.097628	0.1886	0.056992	0.060689	0.05355	0.10055	0.061924	0.087655	0.20714	0.071425	0.072943	0.18833	0.15136	0.05521	0.063563	0.092705	0.055416	0.14189	0.12606	0.097318	0.10595	0.069334	0.074226	0.22738	0.17058	0.41859	0.25662	0.34998	0.23741	0.34404	0.25783	0.40458	0.28315	0.047436	0.37479	0.29172	0.079291	0.39163	0.14391	0.23237	0.12111	0.32207	0.32381	0.21715	0.12771	0.38151	0.14543
0.6484	0.73281	0.82601	0.81953	1	0.93891	0.82948	0.91943	0.74983	0.66631	0.7342	0.88107	0.43965	0.4173	0.4852	0.25826	0.81734	0.83071	0.93007	0.88475	0.62756	0.4541	0.43195	0.31914	0.64888	0.67912	0.21577	0.61923	0.47651	0.0033584	0.75735	0.026022	0.5906	0.14091	0.1172	0.27962	0.18879	0.14477	0.27684	0.88723	0.92603	0.85815	0.8839	0.84593	0.95796	0.93059	0.83403	0.81324	0.85539	0.54223	0.38826	0.24694	0.52253	0.57906	0.4872	0.33705	0.45233	0.43653	0.49012	0.14418	0.24751	0.48116	0.39092	0.38952	0.50954	0.43725	0.17366	0.41652	0.61834	0.25727	0.4677	0.18504	0.23925	0.23436	0.48441	0.13392	0.18179	0.32741	0.17879	0.27595	0.14141	0.16947	0.26391	0.44916	0.28709	0.33481	0.20074	0.3667	0.1287	0.14326	0.12872	0.2237	0.13697	0.18751	0.36978	0.14636	0.18079	0.27084	0.31151	0.10094	0.1636	0.18819	0.12644	0.27266	0.29141	0.16395	0.20361	0.1816	0.1658	0.28693	0.39313	0.4268	0.44999	0.37434	0.46735	0.33828	0.48313	0.32115	0.49801	0.13996	0.38653	0.5261	0.20345	0.38371	0.3252	0.32596	0.26431	0.29342	0.5311	0.29177	0.31776	0.41744	0.30732
0.60778	0.69652	0.79556	0.77553	0.93891	1	0.80043	0.84194	0.71797	0.68981	0.6199	0.75985	0.36226	0.51903	0.61307	0.36404	0.76569	0.75601	0.8681	0.78401	0.63575	0.35175	0.50494	0.24518	0.47856	0.50024	0.28952	0.45559	0.37581	0.0077221	0.66857	0.051832	0.48819	0.16155	0.14822	0.19954	0.12575	0.21357	0.16831	0.79577	0.83145	0.77855	0.86241	0.80322	0.84939	0.91175	0.74298	0.79138	0.78978	0.55723	0.41305	0.25028	0.48083	0.6023	0.52673	0.29289	0.33505	0.34664	0.36615	0.11736	0.24299	0.361	0.30373	0.29165	0.35348	0.48327	0.23489	0.44868	0.6151	0.24839	0.38427	0.20048	0.23827	0.23367	0.52399	0.14207	0.1904	0.28667	0.1817	0.26575	0.1424	0.17022	0.27423	0.41867	0.30161	0.36075	0.21122	0.35721	0.14545	0.15499	0.14687	0.23914	0.15391	0.18923	0.37524	0.16283	0.18727	0.28675	0.27911	0.11035	0.18533	0.20301	0.13605	0.26644	0.29836	0.16902	0.20692	0.18712	0.1827	0.25202	0.31688	0.43551	0.40352	0.3874	0.407	0.34705	0.42866	0.31652	0.45105	0.12218	0.34844	0.46014	0.19905	0.37899	0.26304	0.25348	0.19583	0.27837	0.47197	0.27107	0.26168	0.35587	0.24237
0.91361	0.97497	0.98408	0.99669	0.82948	0.80043	1	0.81635	0.46955	0.41968	0.54567	0.8023	0.19901	0.24627	0.35375	0.17977	0.61241	0.80169	0.79741	0.62442	0.78201	0.6077	0.29837	0.50498	0.54414	0.56705	0.11047	0.46346	0.41601	0.004467	0.50076	0.020893	0.50081	0.05182	0.054908	0.32773	0.23045	0.10146	0.24834	0.71276	0.65479	0.61936	0.91869	0.93082	0.8636	0.70474	0.92345	0.80586	0.86499	0.45511	0.19659	0.1015	0.27615	0.32326	0.26016	0.18636	0.27794	0.25866	0.33365	0.051441	0.1262	0.29802	0.21776	0.22212	0.30674	0.2443	0.10203	0.22263	0.37464	0.12813	0.23842	0.082771	0.10262	0.10524	0.31605	0.061561	0.081243	0.13799	0.073639	0.12923	0.060609	0.068313	0.1329	0.2384	0.13148	0.16253	0.10148	0.19557	0.060173	0.063802	0.057298	0.10538	0.065043	0.091456	0.21565	0.075106	0.076672	0.19444	0.15504	0.057305	0.0679	0.097183	0.058225	0.14601	0.13358	0.10023	0.11013	0.072678	0.078362	0.23571	0.17574	0.43681	0.26313	0.366	0.2445	0.36092	0.26588	0.41835	0.29365	0.049347	0.38717	0.30037	0.08297	0.40722	0.14749	0.23584	0.1221	0.33607	0.33557	0.2273	0.13103	0.38935	0.14813
0.72482	0.7616	0.81831	0.82465	0.91943	0.84194	0.81635	1	0.62703	0.51919	0.60764	0.81936	0.33426	0.34498	0.40738	0.18135	0.83333	0.78137	0.82193	0.81484	0.54336	0.44608	0.26347	0.33027	0.62218	0.66543	0.11843	0.56254	0.37164	0.0016818	0.66034	0.01364	0.48655	0.077841	0.0616	0.23262	0.14762	0.089724	0.26294	0.94059	0.83661	0.75675	0.75322	0.72251	0.96294	0.84105	0.76899	0.6441	0.72599	0.37993	0.37806	0.23675	0.47034	0.47794	0.40289	0.40588	0.54791	0.53033	0.61187	0.16678	0.2919	0.58754	0.48799	0.47998	0.56187	0.39143	0.12164	0.37831	0.50268	0.2255	0.44426	0.19149	0.24455	0.24053	0.50738	0.14151	0.1918	0.32198	0.17617	0.29528	0.15354	0.17072	0.28743	0.47467	0.26332	0.28869	0.21769	0.32262	0.13259	0.14564	0.11508	0.23101	0.14514	0.19777	0.38203	0.15447	0.1744	0.27709	0.32086	0.122	0.14723	0.20133	0.12903	0.25929	0.26459	0.20204	0.22669	0.17927	0.16198	0.20331	0.35794	0.35428	0.49518	0.29506	0.47159	0.25385	0.49192	0.28025	0.49794	0.13629	0.3065	0.5286	0.2049	0.33033	0.32895	0.26245	0.28318	0.22148	0.52285	0.19503	0.31022	0.3672	0.32657
0.33657	0.40079	0.50775	0.45439	0.74983	0.71797	0.46955	0.62703	1	0.95838	0.7511	0.72813	0.72342	0.68168	0.66699	0.4323	0.86064	0.6539	0.81578	0.85067	0.32106	0.20843	0.4684	0.13616	0.39817	0.44861	0.37163	0.45241	0.28152	0.0036538	0.55985	0.040384	0.36391	0.37091	0.26461	0.18319	0.11589	0.24559	0.21916	0.61828	0.83438	0.90088	0.55308	0.54141	0.64417	0.80106	0.53602	0.66687	0.63691	0.68223	0.59391	0.50738	0.79989	0.82213	0.75272	0.47469	0.44716	0.47091	0.45139	0.26247	0.40816	0.47082	0.40957	0.43533	0.48335	0.68	0.38389	0.67231	0.82641	0.5509	0.71642	0.39844	0.45923	0.4751	0.64246	0.3238	0.39081	0.53293	0.41977	0.48925	0.30353	0.3975	0.45566	0.6004	0.59141	0.65497	0.40986	0.73893	0.31538	0.35208	0.35809	0.46951	0.32432	0.41417	0.62835	0.33831	0.43533	0.52347	0.58868	0.22198	0.40582	0.39047	0.32909	0.60942	0.58275	0.30303	0.38877	0.41981	0.38928	0.37101	0.5445	0.39891	0.53351	0.39209	0.58907	0.32976	0.60061	0.27317	0.61228	0.32468	0.41362	0.62663	0.42877	0.33154	0.46083	0.37798	0.32702	0.26457	0.57029	0.39989	0.50827	0.37905	0.41706
0.28595	0.35228	0.45647	0.39887	0.66631	0.68981	0.41968	0.51919	0.95838	1	0.675	0.63959	0.6434	0.74925	0.743	0.54822	0.76856	0.58117	0.75851	0.75063	0.29956	0.16362	0.54179	0.10595	0.303	0.34147	0.48583	0.35253	0.23252	0.0067012	0.47044	0.066546	0.30329	0.45891	0.35843	0.15272	0.095197	0.33178	0.16193	0.50343	0.73895	0.82964	0.51548	0.50354	0.53718	0.73831	0.47111	0.65993	0.59398	0.75066	0.56446	0.49157	0.73945	0.82365	0.77673	0.38337	0.32501	0.35535	0.32792	0.20231	0.35118	0.34124	0.29633	0.31837	0.34943	0.68143	0.47887	0.66255	0.80098	0.52486	0.61584	0.37902	0.41329	0.4335	0.60397	0.30363	0.36276	0.44697	0.39392	0.42723	0.26627	0.3679	0.41311	0.51266	0.58547	0.67264	0.38186	0.72925	0.30936	0.34022	0.37183	0.45151	0.31367	0.38349	0.58128	0.32697	0.412	0.53856	0.51268	0.20396	0.41144	0.36813	0.31859	0.60862	0.55215	0.26827	0.35067	0.39238	0.38036	0.36808	0.44214	0.39736	0.43576	0.40509	0.48505	0.34406	0.49914	0.2667	0.51512	0.27889	0.39955	0.51971	0.38368	0.31963	0.3622	0.32834	0.24053	0.26391	0.47557	0.41435	0.41156	0.33318	0.31771
